Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.2	2.3	3.8	4.1	2081	2.1	0.35	C_182:R_613	0.90
2000-01-02	0.2	0.3	2.0	5.9	3176	2.3	0.59	C_182:R_613	0.79
2000-01-03	0.0	0.2	3.8	4.3	2110	3.2	0.62	C_182:R_613	0.83
2000-01-04	0.1	2.9	7.2	8.1	2127	3.3	0.83	C_182:R_613	0.80
2000-01-05	0.0	1.1	3.9	10.8	5486	3.1	1.04	C_182:R_613	0.68
2000-01-06	0.5	-1.7	3.5	4.0	2162	2.7	0.67	C_182:R_613	0.78
2000-01-07	0.0	3.8	6.4	8.7	2636	2.3	0.67	C_182:R_613	0.81
2000-01-08	4.4	2.3	5.4	6.8	2203	2.8	0.69	C_182:R_613	0.82
2000-01-09	9.4	4.8	5.4	6.3	2225	1.7	0.36	C_182:R_613	0.92
2000-01-10	1.5	2.5	3.5	4.6	2248	1.7	0.37	C_182:R_613	0.90
2000-01-11	0.0	2.8	3.7	4.5	2272	2.2	0.38	C_182:R_613	0.91
2000-01-12	0.0	0.7	1.1	2.9	2298	2.7	0.42	C_182:R_613	0.89
2000-01-13	0.0	-1.1	0.6	3.7	3377	2.5	0.56	C_182:R_613	0.81
2000-01-14	0.0	-2.2	1.1	4.3	2352	1.5	0.56	C_182:R_613	0.76
2000-01-15	0.0	-2.9	0.4	1.3	2381	1.6	0.42	C_182:R_613	0.82
2000-01-16	0.1	-2.4	1.5	4.5	4893	2.5	0.66	C_182:R_613	0.75
2000-01-17	0.0	1.6	5.6	7.1	2442	5.4	1.05	C_182:R_613	0.79
2000-01-18	0.1	4.0	5.8	9.3	2914	5.3	1.12	C_182:R_613	0.80
2000-01-19	0.0	-2.4	2.2	5.6	4114	2.8	0.85	C_182:R_613	0.72
2000-01-20	0.0	0.7	4.1	5.8	2543	4.0	0.85	C_182:R_613	0.80
2000-01-21	0.5	2.8	4.5	5.7	2579	4.2	0.65	C_182:R_613	0.87
2000-01-22	1.1	2.1	3.8	4.3	2616	2.6	0.47	C_182:R_613	0.89
2000-01-23	3.3	-1.7	0.3	4.2	2654	2.1	0.65	C_182:R_613	0.78
2000-01-24	0.0	-7.9	-5.5	-1.3	7163	1.4	0.37	C_182:R_613	0.75
2000-01-25	0.0	-10.5	-6.3	-0.7	7189	1.9	0.55	C_182:R_613	0.65
2000-01-26	0.0	-11.1	-5.9	-0.3	7275	2.8	0.73	C_182:R_613	0.63
2000-01-27	0.0	-8.0	-3.0	1.1	7363	3.3	0.79	C_182:R_613	0.68
2000-01-28	0.0	-6.1	1.9	6.0	6124	4.2	1.31	C_182:R_613	0.61
2000-01-29	5.0	3.4	7.6	8.7	2906	6.5	1.23	C_182:R_613	0.80
2000-01-30	8.0	6.3	9.6	10.9	2952	5.8	1.20	C_182:R_613	0.82
2000-01-31	0.1	9.2	10.1	11.7	3497	5.9	0.91	C_182:R_613	0.89
2000-02-01	0.0	5.4	8.1	11.1	4432	3.6	1.11	C_182:R_613	0.79
2000-02-02	3.2	3.4	5.9	9.6	3159	3.8	1.14	C_182:R_613	0.78
2000-02-03	0.0	2.7	5.8	8.9	3918	3.8	1.11	C_182:R_613	0.78
2000-02-04	2.1	0.9	6.5	9.1	3392	3.8	1.29	C_182:R_613	0.72
2000-02-05	0.0	5.0	6.9	12.9	6535	3.4	1.39	C_182:R_613	0.74
2000-02-06	0.0	2.8	7.3	12.7	6159	2.7	1.37	C_182:R_613	0.68
2000-02-07	0.0	6.1	9.4	12.1	4230	4.3	1.33	C_182:R_613	0.79
2000-02-08	2.1	7.6	11.3	13.4	4023	5.4	1.51	C_182:R_613	0.79
2000-02-09	0.5	3.1	5.7	12.6	4772	5.9	1.95	C_182:R_613	0.69
2000-02-10	10.2	1.8	7.4	10.6	8031	4.0	1.49	C_182:R_613	0.71
2000-02-11	0.0	0.3	2.1	8.0	6246	2.6	1.06	C_182:R_613	0.73
2000-02-12	0.0	-3.8	3.3	7.5	8104	3.4	1.36	C_182:R_613	0.63
2000-02-13	3.4	0.4	2.7	6.2	3704	3.8	1.01	C_182:R_613	0.78
2000-02-14	2.9	-2.9	2.9	6.0	8972	2.9	1.12	C_182:R_613	0.69
2000-02-15	5.7	4.7	8.4	12.6	5216	3.2	1.43	C_182:R_613	0.73
2000-02-16	4.1	0.9	3.3	8.3	5810	3.9	1.28	C_182:R_613	0.74
2000-02-17	0.4	0.3	2.7	5.5	5596	2.9	0.89	C_182:R_613	0.80
2000-02-18	3.0	0.4	3.6	5.5	4019	3.0	0.88	C_182:R_613	0.80
2000-02-19	2.9	3.4	6.0	9.1	4389	2.6	1.03	C_182:R_613	0.79
2000-02-20	0.1	-1.1	1.5	6.0	5536	2.5	0.99	C_182:R_613	0.74
2000-02-21	0.2	-2.3	1.3	5.4	5773	1.4	0.83	C_182:R_613	0.73
2000-02-22	0.0	0.3	3.7	7.8	5385	1.7	0.96	C_182:R_613	0.74
2000-02-23	0.2	1.4	5.3	8.9	5703	1.5	0.98	C_182:R_613	0.74
2000-02-24	5.0	4.6	6.2	6.7	4423	3.2	0.72	C_182:R_613	0.90
2000-02-25	3.9	1.3	5.1	10.3	6922	3.4	1.52	C_182:R_613	0.70
2000-02-26	0.0	-2.4	4.3	10.4	11023	2.1	1.52	C_182:R_613	0.61
2000-02-27	0.0	-1.9	5.2	12.9	12726	2.7	1.95	C_182:R_613	0.57
2000-02-28	1.5	2.9	10.7	18.1	10542	4.3	2.85	C_182:R_613	0.57
2000-02-29	2.9	5.5	7.4	10.2	5285	4.0	1.22	C_182:R_613	0.82
