Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.0	2.5	4.0	4.1	2095	2.1	0.34	C_185:R_623	0.91
2000-01-02	0.0	0.5	2.2	5.9	3146	2.3	0.59	C_185:R_623	0.79
2000-01-03	0.0	0.4	4.0	4.3	2124	3.2	0.60	C_185:R_623	0.84
2000-01-04	0.0	3.1	7.4	8.1	2140	3.3	0.82	C_185:R_623	0.81
2000-01-05	0.0	1.3	4.1	10.8	5466	3.1	1.03	C_185:R_623	0.69
2000-01-06	0.8	-1.5	3.7	4.0	2176	2.7	0.66	C_185:R_623	0.79
2000-01-07	0.0	4.0	6.6	8.7	2652	2.3	0.66	C_185:R_623	0.82
2000-01-08	1.4	2.5	5.6	6.8	2217	2.8	0.67	C_185:R_623	0.83
2000-01-09	9.7	5.0	5.6	6.3	2239	1.7	0.34	C_185:R_623	0.92
2000-01-10	1.9	2.7	3.7	4.6	2262	1.7	0.36	C_185:R_623	0.90
2000-01-11	0.0	3.0	3.9	4.5	2286	2.2	0.37	C_185:R_623	0.91
2000-01-12	0.0	0.9	1.3	2.9	2312	2.7	0.41	C_185:R_623	0.90
2000-01-13	0.0	-0.9	0.8	3.7	3343	2.5	0.55	C_185:R_623	0.81
2000-01-14	0.0	-2.0	1.3	4.3	2366	1.5	0.55	C_185:R_623	0.76
2000-01-15	0.0	-2.7	0.6	1.3	2395	1.6	0.42	C_185:R_623	0.83
2000-01-16	0.0	-2.2	1.7	4.5	4863	2.5	0.65	C_185:R_623	0.75
2000-01-17	0.0	1.8	5.8	7.1	2456	5.4	1.03	C_185:R_623	0.80
2000-01-18	0.2	4.2	6.0	9.3	2875	5.3	1.10	C_185:R_623	0.81
2000-01-19	0.0	-2.2	2.4	5.6	4135	2.8	0.84	C_185:R_623	0.72
2000-01-20	0.0	0.9	4.3	5.8	2557	4.0	0.84	C_185:R_623	0.81
2000-01-21	0.4	3.0	4.7	5.7	2593	4.2	0.63	C_185:R_623	0.88
2000-01-22	2.6	2.3	4.0	4.3	2630	2.6	0.46	C_185:R_623	0.90
2000-01-23	3.0	-1.5	0.5	4.2	2668	2.1	0.65	C_185:R_623	0.78
2000-01-24	0.0	-7.7	-5.3	-1.3	7137	1.4	0.36	C_185:R_623	0.75
2000-01-25	0.0	-10.3	-6.1	-0.7	7162	1.9	0.55	C_185:R_623	0.66
2000-01-26	0.0	-10.9	-5.7	-0.3	7248	2.8	0.73	C_185:R_623	0.63
2000-01-27	0.0	-7.8	-2.8	1.1	7335	3.3	0.79	C_185:R_623	0.68
2000-01-28	0.0	-5.9	2.1	6.0	6090	4.2	1.30	C_185:R_623	0.62
2000-01-29	1.9	3.6	7.8	8.7	2920	6.5	1.20	C_185:R_623	0.81
2000-01-30	10.4	6.5	9.8	10.9	2966	5.8	1.17	C_185:R_623	0.83
2000-01-31	0.0	9.4	10.3	11.7	3513	5.9	0.88	C_185:R_623	0.89
2000-02-01	0.0	5.7	8.3	11.1	4452	3.6	1.08	C_185:R_623	0.80
2000-02-02	2.7	3.7	6.1	9.6	3174	3.8	1.11	C_185:R_623	0.79
2000-02-03	0.0	3.0	6.0	8.9	3935	3.8	1.08	C_185:R_623	0.78
2000-02-04	2.0	1.2	6.7	9.1	3407	3.8	1.26	C_185:R_623	0.73
2000-02-05	0.0	5.3	7.1	12.9	6495	3.4	1.36	C_185:R_623	0.74
2000-02-06	0.0	3.1	7.5	12.7	6116	2.7	1.36	C_185:R_623	0.69
2000-02-07	0.1	6.4	9.6	12.1	4247	4.3	1.30	C_185:R_623	0.79
2000-02-08	3.3	7.9	11.5	13.4	4040	5.4	1.47	C_185:R_623	0.80
2000-02-09	0.0	3.4	5.9	12.6	4722	5.9	1.92	C_185:R_623	0.70
2000-02-10	12.8	2.1	7.6	10.6	7990	4.0	1.47	C_185:R_623	0.71
2000-02-11	0.0	0.6	2.3	8.0	6269	2.6	1.05	C_185:R_623	0.74
2000-02-12	0.0	-3.5	3.5	7.5	8061	3.4	1.35	C_185:R_623	0.64
2000-02-13	3.7	0.7	2.9	6.2	3718	3.8	0.98	C_185:R_623	0.79
2000-02-14	2.0	-2.6	3.1	6.0	8929	2.9	1.11	C_185:R_623	0.70
2000-02-15	6.0	5.0	8.6	12.6	5161	3.2	1.41	C_185:R_623	0.74
2000-02-16	5.0	1.2	3.5	8.3	5830	3.9	1.26	C_185:R_623	0.75
2000-02-17	0.5	0.6	2.9	5.5	5540	2.9	0.87	C_185:R_623	0.81
2000-02-18	3.2	0.7	3.8	5.5	4033	3.0	0.86	C_185:R_623	0.81
2000-02-19	3.5	3.7	6.2	9.1	4404	2.6	1.01	C_185:R_623	0.80
2000-02-20	0.0	-0.8	1.7	6.0	5477	2.5	0.98	C_185:R_623	0.75
2000-02-21	0.3	-2.0	1.5	5.4	5713	1.4	0.82	C_185:R_623	0.73
2000-02-22	0.0	0.6	3.9	7.8	5402	1.7	0.95	C_185:R_623	0.75
2000-02-23	0.0	1.7	5.5	8.9	5641	1.5	0.97	C_185:R_623	0.75
2000-02-24	5.5	4.9	6.4	6.7	4437	3.2	0.69	C_185:R_623	0.91
2000-02-25	4.3	1.6	5.3	10.3	6942	3.4	1.51	C_185:R_623	0.71
2000-02-26	0.0	-2.1	4.5	10.4	10971	2.1	1.51	C_185:R_623	0.61
2000-02-27	0.0	-1.6	5.4	12.9	12677	2.7	1.95	C_185:R_623	0.57
2000-02-28	3.3	3.2	10.9	18.1	10570	4.3	2.83	C_185:R_623	0.58
2000-02-29	1.6	5.8	7.6	10.2	5299	4.0	1.19	C_185:R_623	0.83
2000-03-01	5.9	3.8	4.6	9.1	4951	4.1	1.23	C_185:R_623	0.80
2000-03-02	0.0	2.6	5.1	8.6	7261	4.3	1.36	C_185:R_623	0.78
2000-03-03	8.2	5.4	7.6	9.2	5014	6.0	1.19	C_185:R_623	0.85
2000-03-04	0.1	1.1	3.7	7.4	9905	4.5	1.41	C_185:R_623	0.77
2000-03-05	0.0	0.4	3.8	6.7	6931	3.7	1.23	C_185:R_623	0.77
2000-03-06	0.1	-0.3	3.5	11.3	15135	3.8	2.13	C_185:R_623	0.64
2000-03-07	1.6	-0.1	8.2	12.9	6035	4.7	2.24	C_185:R_623	0.61
2000-03-08	3.8	8.7	10.8	11.9	5392	5.4	1.24	C_185:R_623	0.87
2000-03-09	2.1	11.7	12.5	13.8	6018	5.7	1.19	C_185:R_623	0.90
2000-03-10	0.4	8.8	10.3	12.3	6746	2.9	1.23	C_185:R_623	0.86
2000-03-11	0.1	9.9	10.3	11.9	5623	4.8	1.06	C_185:R_623	0.90
2000-03-12	0.0	5.5	6.9	10.1	5701	1.7	1.06	C_185:R_623	0.82
2000-03-13	0.1	0.5	7.9	13.5	14010	1.9	2.01	C_185:R_623	0.61
2000-03-14	3.1	7.7	8.8	12.3	5857	3.9	1.40	C_185:R_623	0.83
2000-03-15	0.1	2.3	6.6	9.4	11030	4.7	1.75	C_185:R_623	0.75
2000-03-16	0.4	6.8	9.1	10.1	6208	3.9	1.17	C_185:R_623	0.86
2000-03-17	0.1	8.7	9.6	10.6	6093	3.4	1.01	C_185:R_623	0.91
2000-03-18	1.5	6.5	7.7	10.4	6172	2.0	1.12	C_185:R_623	0.84
2000-03-19	0.0	5.3	6.5	10.0	8134	2.3	1.30	C_185:R_623	0.82
2000-03-20	0.0	-0.2	5.9	11.2	13516	2.0	1.90	C_185:R_623	0.64
2000-03-21	0.0	-0.6	6.5	15.7	16060	1.6	2.33	C_185:R_623	0.54
2000-03-22	0.0	-0.2	8.9	18.4	17928	1.6	2.68	C_185:R_623	0.50
2000-03-23	0.1	2.6	12.1	18.6	14417	1.5	2.45	C_185:R_623	0.55
2000-03-24	3.8	7.5	12.5	17.6	9828	2.7	2.31	C_185:R_623	0.69
2000-03-25	0.6	7.8	10.8	16.7	10858	2.1	2.12	C_185:R_623	0.72
2000-03-26	0.5	5.4	7.3	11.3	8572	2.0	1.48	C_185:R_623	0.79
2000-03-27	0.0	2.6	7.4	11.8	9395	1.9	1.69	C_185:R_623	0.70
2000-03-28	0.0	2.8	4.3	7.7	8120	3.0	1.30	C_185:R_623	0.81
2000-03-29	17.8	0.7	8.1	12.0	8311	3.8	2.10	C_185:R_623	0.65
2000-03-30	15.7	4.0	5.0	8.4	7118	3.7	1.29	C_185:R_623	0.83
2000-03-31	0.5	3.7	5.5	10.3	8804	1.9	1.49	C_185:R_623	0.77
2000-04-01	2.7	0.4	5.9	10.4	9323	1.5	1.56	C_185:R_623	0.67
2000-04-02	0.0	1.9	10.7	16.3	19611	1.8	2.83	C_185:R_623	0.58
2000-04-03	0.1	2.5	12.7	20.6	15610	2.6	3.32	C_185:R_623	0.52
2000-04-04	7.6	9.5	11.6	17.4	10905	2.2	2.22	C_185:R_623	0.74
2000-04-05	4.6	5.9	7.3	11.2	7691	3.2	1.55	C_185:R_623	0.80
2000-04-06	0.0	2.6	5.7	10.8	21292	2.8	2.49	C_185:R_623	0.72
2000-04-07	0.0	0.5	7.3	13.8	20991	2.5	2.88	C_185:R_623	0.60
2000-04-08	0.0	0.1	10.0	15.7	17997	1.5	2.64	C_185:R_623	0.56
2000-04-09	0.0	8.0	11.5	16.0	15983	2.6	2.62	C_185:R_623	0.74
2000-04-10	0.0	3.9	10.5	15.2	19939	2.0	2.87	C_185:R_623	0.65
2000-04-11	4.4	3.9	10.1	16.4	13935	1.8	2.50	C_185:R_623	0.63
2000-04-12	1.4	6.2	8.1	12.2	14034	2.9	2.10	C_185:R_623	0.79
2000-04-13	1.2	5.4	9.3	14.5	14133	3.5	2.56	C_185:R_623	0.71
2000-04-14	2.6	7.3	8.0	9.9	8476	2.6	1.31	C_185:R_623	0.88
2000-04-15	2.5	6.4	7.9	13.0	9588	2.4	1.84	C_185:R_623	0.77
2000-04-16	0.0	3.1	10.9	16.7	16626	2.7	3.03	C_185:R_623	0.60
2000-04-17	0.0	9.0	10.3	13.4	8574	2.8	1.67	C_185:R_623	0.83
2000-04-18	5.2	7.7	11.2	14.8	8644	1.9	1.84	C_185:R_623	0.76
2000-04-19	0.0	8.5	11.3	17.1	15051	1.7	2.59	C_185:R_623	0.72
2000-04-20	0.0	4.8	13.6	21.8	21856	1.6	3.73	C_185:R_623	0.54
2000-04-21	0.0	8.8	16.8	24.2	16178	1.9	3.57	C_185:R_623	0.58
2000-04-22	0.0	9.7	18.1	26.8	21251	2.1	4.50	C_185:R_623	0.55
2000-04-23	4.0	12.9	17.7	23.7	13980	1.9	3.18	C_185:R_623	0.68
2000-04-24	1.1	9.5	10.8	15.7	12509	2.6	2.30	C_185:R_623	0.79
2000-04-25	0.0	4.2	14.7	20.9	24560	1.7	3.96	C_185:R_623	0.55
2000-04-26	0.0	8.9	17.8	26.1	24670	2.3	4.89	C_185:R_623	0.55
2000-04-27	0.0	10.7	19.1	23.7	14056	2.2	3.41	C_185:R_623	0.63
2000-04-28	0.0	11.9	19.4	25.3	19205	2.8	4.36	C_185:R_623	0.63
2000-04-29	0.0	14.8	15.3	19.9	9239	2.2	2.14	C_185:R_623	0.82
2000-04-30	0.0	14.5	17.5	22.6	15979	1.4	3.13	C_185:R_623	0.75
2000-05-01	4.5	12.7	16.4	23.4	12645	1.8	3.01	C_185:R_623	0.69
2000-05-02	6.3	13.5	18.6	23.2	15641	2.3	3.45	C_185:R_623	0.71
2000-05-03	0.3	14.8	18.5	23.8	17180	1.7	3.50	C_185:R_623	0.73
2000-05-04	0.3	13.8	18.0	23.6	15169	1.5	3.21	C_185:R_623	0.71
2000-05-05	0.9	11.1	18.3	24.1	20153	1.9	4.05	C_185:R_623	0.63
2000-05-06	0.0	11.1	19.6	26.7	22569	2.2	4.78	C_185:R_623	0.58
2000-05-07	0.0	13.1	19.5	26.5	21044	2.2	4.55	C_185:R_623	0.63
2000-05-08	0.0	11.9	19.8	27.8	23962	1.9	4.97	C_185:R_623	0.58
2000-05-09	0.0	11.5	21.5	27.9	26022	1.4	5.00	C_185:R_623	0.57
2000-05-10	0.0	15.1	23.2	28.6	23371	1.3	4.74	C_185:R_623	0.63
2000-05-11	30.0	16.7	22.9	30.0	20584	1.9	4.80	C_185:R_623	0.64
2000-05-12	2.8	16.7	18.2	20.3	10188	2.6	2.21	C_185:R_623	0.86
2000-05-13	0.0	14.4	18.3	24.0	20838	1.8	4.07	C_185:R_623	0.71
2000-05-14	0.0	12.6	19.2	26.3	28145	1.5	5.18	C_185:R_623	0.62
2000-05-15	0.0	10.4	19.4	28.0	27590	1.3	5.18	C_185:R_623	0.55
2000-05-16	0.0	10.7	21.6	28.7	26530	1.5	5.24	C_185:R_623	0.54
2000-05-17	0.1	14.7	19.0	23.0	14928	2.6	3.39	C_185:R_623	0.74
2000-05-18	3.6	11.7	14.4	18.6	13719	2.3	2.74	C_185:R_623	0.77
2000-05-19	2.4	9.8	12.2	16.0	12380	2.4	2.37	C_185:R_623	0.79
2000-05-20	0.8	8.0	10.9	16.1	14436	2.2	2.66	C_185:R_623	0.74
2000-05-21	6.6	4.0	12.7	18.2	17250	1.6	3.12	C_185:R_623	0.59
2000-05-22	0.5	8.9	12.0	14.2	10608	2.2	2.00	C_185:R_623	0.81
2000-05-23	0.0	9.0	14.9	20.0	20619	1.8	3.68	C_185:R_623	0.67
2000-05-24	0.4	7.5	17.3	23.3	18640	2.1	4.00	C_185:R_623	0.57
2000-05-25	1.0	13.5	15.3	20.7	12229	3.2	2.93	C_185:R_623	0.77
2000-05-26	4.3	6.7	18.0	23.5	26568	2.2	4.89	C_185:R_623	0.55
2000-05-27	2.3	9.7	12.2	18.3	15461	3.4	3.17	C_185:R_623	0.73
2000-05-28	0.3	7.5	14.2	17.8	13845	3.8	3.16	C_185:R_623	0.68
2000-05-29	0.4	8.0	10.5	17.5	17301	3.6	3.33	C_185:R_623	0.70
2000-05-30	12.0	4.5	11.6	16.5	13397	1.9	2.68	C_185:R_623	0.64
2000-05-31	0.0	10.2	12.7	17.9	16345	1.5	2.91	C_185:R_623	0.75
2000-06-01	0.0	8.2	17.3	24.1	22219	2.1	4.50	C_185:R_623	0.57
2000-06-02	0.0	10.1	22.1	28.8	25935	2.3	5.65	C_185:R_623	0.53
2000-06-03	0.4	14.2	24.5	31.2	27745	1.6	5.89	C_185:R_623	0.57
2000-06-04	16.0	17.5	21.6	28.1	20009	2.1	4.60	C_185:R_623	0.70
2000-06-05	2.2	17.0	20.4	26.5	18886	1.7	4.12	C_185:R_623	0.72
2000-06-06	0.0	14.6	16.4	20.3	13684	2.9	2.89	C_185:R_623	0.81
2000-06-07	0.0	12.5	15.6	20.8	19180	2.9	3.74	C_185:R_623	0.74
2000-06-08	0.0	9.6	18.7	24.4	30029	1.8	5.34	C_185:R_623	0.60
2000-06-09	0.0	14.3	24.5	31.2	29028	2.6	6.56	C_185:R_623	0.57
2000-06-10	0.0	16.1	23.9	30.5	27387	1.9	5.93	C_185:R_623	0.62
2000-06-11	0.0	16.9	18.3	21.9	10825	2.2	2.52	C_185:R_623	0.83
2000-06-12	0.0	11.4	18.8	25.5	29199	2.3	5.56	C_185:R_623	0.61
2000-06-13	0.0	10.9	21.6	29.7	30230	2.1	6.23	C_185:R_623	0.53
2000-06-14	0.0	15.2	23.6	29.1	27178	1.8	5.67	C_185:R_623	0.63
2000-06-15	0.0	16.7	18.5	24.4	12643	2.8	3.28	C_185:R_623	0.76
2000-06-16	0.0	11.3	16.0	21.2	28338	3.2	4.86	C_185:R_623	0.70
2000-06-17	0.0	8.2	17.3	22.6	30383	1.7	5.10	C_185:R_623	0.60
2000-06-18	0.0	8.7	20.2	29.2	30256	1.5	5.82	C_185:R_623	0.49
2000-06-19	0.0	11.7	24.2	33.3	30129	1.5	6.36	C_185:R_623	0.49
2000-06-20	0.0	14.5	25.5	34.1	29744	1.5	6.49	C_185:R_623	0.52
2000-06-21	0.0	17.2	27.5	32.8	29485	1.9	6.56	C_185:R_623	0.60
2000-06-22	0.0	17.3	20.5	27.0	13031	2.4	3.61	C_185:R_623	0.72
2000-06-23	4.9	15.5	19.3	22.7	17105	2.7	3.61	C_185:R_623	0.77
2000-06-24	1.9	13.9	15.1	18.5	13274	2.5	2.57	C_185:R_623	0.83
2000-06-25	6.4	11.2	14.2	18.6	13904	3.1	2.94	C_185:R_623	0.76
2000-06-26	0.0	11.6	14.5	19.1	17844	3.5	3.42	C_185:R_623	0.76
2000-06-27	0.0	7.4	15.3	20.5	26365	3.2	4.66	C_185:R_623	0.62
2000-06-28	0.0	9.0	16.1	22.3	29914	2.7	5.21	C_185:R_623	0.62
2000-06-29	0.0	8.6	17.4	22.6	28113	2.5	5.03	C_185:R_623	0.61
2000-06-30	0.0	10.3	19.4	23.6	18551	2.5	4.14	C_185:R_623	0.63
2000-07-01	8.0	12.4	21.8	29.9	24256	2.1	5.52	C_185:R_623	0.55
2000-07-02	13.4	16.1	20.5	28.3	24488	1.4	5.04	C_185:R_623	0.66
2000-07-03	0.2	16.7	21.0	25.0	16206	1.9	3.62	C_185:R_623	0.75
2000-07-04	3.6	15.5	18.9	22.1	12629	1.8	2.81	C_185:R_623	0.79
2000-07-05	0.6	14.0	18.6	23.1	16161	2.9	3.70	C_185:R_623	0.72
2000-07-06	0.7	13.3	21.0	25.9	24889	2.2	5.04	C_185:R_623	0.65
