experiment,obs,sim
12,96,92.0
12,145,146.0
20,83,93.0
20,135,142.0
14,93,86.0
14,134,133.0
18,71,77.0
18,136,136.0
30,89,84.0
30,140,133.0
36,69,73.0
36,141,134.0
50,92,93.0
50,145,145.0
60,78,87.0
60,138,138.0
38,80,89.0
38,144,141.0
66,80,73.0
66,136,133.0
70,84,90.0
70,143,146.0
68,89,92.0
68,136,142.0
52,81,76.0
52,134,128.0
58,62,69.0
58,139,133.0
