exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
11,sim-11.json,crop-11.json,site-11.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
13,sim-13.json,crop-13.json,site-13.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
17,sim-17.json,crop-17.json,site-17.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
19,sim-19.json,crop-19.json,site-19.json,climate_10170.csv,wheat.json,winter-wheat-apache.json,0,WW,
29,sim-29.json,crop-29.json,site-29.json,climate_27110.csv,wheat.json,winter-wheat-apache.json,0,WW,
35,sim-35.json,crop-35.json,site-35.json,climate_27110.csv,wheat.json,winter-wheat-apache.json,0,WW,
37,sim-37.json,crop-37.json,site-37.json,climate_27110.csv,wheat.json,winter-wheat-apache.json,0,WW,
49,sim-49.json,crop-49.json,site-49.json,climate_56500.csv,wheat.json,winter-wheat-apache.json,0,WW,
51,sim-51.json,crop-51.json,site-51.json,climate_56500.csv,wheat.json,winter-wheat-apache.json,0,WW,
57,sim-57.json,crop-57.json,site-57.json,climate_56500.csv,wheat.json,winter-wheat-apache.json,0,WW,
59,sim-59.json,crop-59.json,site-59.json,climate_56500.csv,wheat.json,winter-wheat-apache.json,0,WW,
65,sim-65.json,crop-65.json,site-65.json,climate_91720.csv,wheat.json,winter-wheat-apache.json,0,WW,
67,sim-67.json,crop-67.json,site-67.json,climate_91720.csv,wheat.json,winter-wheat-apache.json,0,WW,
69,sim-69.json,crop-69.json,site-69.json,climate_91720.csv,wheat.json,winter-wheat-apache.json,0,WW,
