exp_ID,stage,DOY,cv,use it
12,30,96,Bermude,y
12,55,145,Bermude,y
14,30,93,Bermude,y
14,55,134,Bermude,y
18,30,71,Bermude,y
18,55,136,Bermude,y
20,30,83,Bermude,y
20,55,135,Bermude,y
30,30,89,Bermude,y
30,55,140,Bermude,y
36,30,69,Bermude,y
36,55,141,Bermude,y
38,30,80,Bermude,y
38,55,144,Bermude,y
50,30,92,Bermude,y
50,55,145,Bermude,y
52,30,81,Bermude,y
52,55,134,Bermude,y
58,30,62,Bermude,y
58,55,139,Bermude,y
60,30,78,Bermude,y
60,55,138,Bermude,y
66,30,80,Bermude,y
66,55,136,Bermude,y
68,30,89,Bermude,y
68,55,136,Bermude,y
70,30,84,Bermude,y
70,55,143,Bermude,y
