Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.0	2.3	3.7	5.9	2080	2.1	0.51	C_180:R_611	0.85
2000-01-02	0.2	-1.4	0.4	3.9	3125	2.3	0.53	C_180:R_611	0.79
2000-01-03	0.0	-0.9	3.7	4.7	2109	3.2	0.74	C_180:R_611	0.79
2000-01-04	0.1	2.9	7.5	9.2	2125	3.3	0.97	C_180:R_611	0.77
2000-01-05	0.0	1.9	5.9	9.8	5433	3.1	0.88	C_180:R_611	0.73
2000-01-06	0.5	0.3	3.9	5.7	2161	2.7	0.70	C_180:R_611	0.79
2000-01-07	0.0	3.3	6.8	8.9	2635	2.3	0.72	C_180:R_611	0.79
2000-01-08	4.0	4.5	6.2	7.2	2201	2.8	0.54	C_180:R_611	0.88
2000-01-09	8.7	4.7	5.6	6.5	2223	1.7	0.38	C_180:R_611	0.91
2000-01-10	1.4	2.3	3.0	5.5	2246	1.7	0.45	C_180:R_611	0.86
2000-01-11	0.0	1.3	3.4	3.9	2271	2.2	0.43	C_180:R_611	0.88
2000-01-12	0.0	-0.4	1.0	3.9	2296	2.7	0.59	C_180:R_611	0.82
2000-01-13	0.0	-0.9	1.2	4.1	3323	2.5	0.58	C_180:R_611	0.80
2000-01-14	0.0	-0.5	0.7	3.1	2351	1.5	0.42	C_180:R_611	0.85
2000-01-15	0.0	-2.9	0.7	2.2	2379	1.6	0.48	C_180:R_611	0.80
2000-01-16	0.1	-1.4	1.8	3.1	4836	2.5	0.49	C_180:R_611	0.82
2000-01-17	0.0	2.0	6.4	7.1	2441	5.4	1.01	C_180:R_611	0.80
2000-01-18	0.1	2.7	4.9	8.4	2857	5.3	1.12	C_180:R_611	0.79
2000-01-19	0.0	0.5	3.0	5.1	4112	2.8	0.62	C_180:R_611	0.82
2000-01-20	0.0	0.6	3.4	5.9	2541	4.0	0.88	C_180:R_611	0.80
2000-01-21	0.5	2.7	4.3	6.0	2577	4.2	0.71	C_180:R_611	0.86
2000-01-22	1.0	2.5	3.4	4.9	2614	2.6	0.50	C_180:R_611	0.89
2000-01-23	3.0	-1.8	0.2	3.4	2652	2.1	0.60	C_180:R_611	0.80
2000-01-24	0.0	-8.0	-5.2	-1.0	7102	1.4	0.38	C_180:R_611	0.73
2000-01-25	0.0	-9.4	-5.9	0.0	7127	1.9	0.56	C_180:R_611	0.67
2000-01-26	0.0	-10.9	-5.4	0.4	7212	2.8	0.77	C_180:R_611	0.62
2000-01-27	0.0	-8.1	-2.9	2.3	7300	3.3	0.89	C_180:R_611	0.65
2000-01-28	0.0	-5.1	1.8	5.4	6061	4.2	1.20	C_180:R_611	0.65
2000-01-29	4.6	3.0	7.4	8.5	2904	6.5	1.24	C_180:R_611	0.79
2000-01-30	7.4	6.3	8.8	10.9	2950	5.8	1.20	C_180:R_611	0.82
