Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.1	2.2	3.9	4.2	2088	2.1	0.37	C_183:R_617	0.90
2000-01-02	0.0	0.2	2.1	6.0	3184	2.3	0.61	C_183:R_617	0.78
2000-01-03	0.0	0.1	3.9	4.4	2116	3.2	0.64	C_183:R_617	0.83
2000-01-04	0.0	2.8	7.3	8.2	2133	3.3	0.86	C_183:R_617	0.80
2000-01-05	0.0	1.0	4.0	10.9	5599	3.1	1.05	C_183:R_617	0.68
2000-01-06	0.8	-1.8	3.6	4.1	2169	2.7	0.69	C_183:R_617	0.78
2000-01-07	0.0	3.7	6.5	8.8	2694	2.3	0.68	C_183:R_617	0.81
2000-01-08	1.5	2.2	5.5	6.9	2209	2.8	0.70	C_183:R_617	0.82
2000-01-09	10.0	4.7	5.5	6.4	2231	1.7	0.37	C_183:R_617	0.91
2000-01-10	2.0	2.4	3.6	4.7	2254	1.7	0.39	C_183:R_617	0.89
2000-01-11	0.0	2.7	3.8	4.6	2279	2.2	0.40	C_183:R_617	0.90
2000-01-12	0.0	0.6	1.2	3.0	2304	2.7	0.44	C_183:R_617	0.88
2000-01-13	0.0	-1.2	0.7	3.8	3438	2.5	0.57	C_183:R_617	0.80
2000-01-14	0.0	-2.3	1.2	4.4	2358	1.5	0.57	C_183:R_617	0.75
2000-01-15	0.0	-3.0	0.5	1.4	2387	1.6	0.43	C_183:R_617	0.82
2000-01-16	0.0	-2.5	1.6	4.6	5012	2.5	0.67	C_183:R_617	0.74
2000-01-17	0.0	1.5	5.7	7.2	2449	5.4	1.08	C_183:R_617	0.79
2000-01-18	0.2	3.9	5.9	9.4	2921	5.3	1.15	C_183:R_617	0.80
2000-01-19	0.0	-2.5	2.3	5.7	4179	2.8	0.86	C_183:R_617	0.71
2000-01-20	0.0	0.6	4.2	5.9	2549	4.0	0.88	C_183:R_617	0.80
2000-01-21	0.5	2.7	4.6	5.8	2585	4.2	0.68	C_183:R_617	0.86
2000-01-22	2.7	2.0	3.9	4.4	2622	2.6	0.49	C_183:R_617	0.89
2000-01-23	3.1	-1.8	0.4	4.3	2660	2.1	0.67	C_183:R_617	0.77
2000-01-24	0.0	-8.0	-5.4	-1.2	7352	1.4	0.37	C_183:R_617	0.74
2000-01-25	0.0	-10.6	-6.2	-0.6	7379	1.9	0.55	C_183:R_617	0.65
2000-01-26	0.0	-11.2	-5.8	-0.2	7467	2.8	0.74	C_183:R_617	0.62
2000-01-27	0.0	-8.1	-2.9	1.2	7557	3.3	0.81	C_183:R_617	0.67
2000-01-28	0.0	-6.2	2.0	6.1	6257	4.2	1.32	C_183:R_617	0.61
2000-01-29	2.0	3.3	7.7	8.8	2912	6.5	1.26	C_183:R_617	0.80
2000-01-30	10.7	6.2	9.7	11.0	2958	5.8	1.23	C_183:R_617	0.82
2000-01-31	0.0	9.1	10.2	11.8	3567	5.9	0.95	C_183:R_617	0.88
2000-02-01	0.0	5.3	8.0	11.2	4504	3.6	1.14	C_183:R_617	0.79
2000-02-02	3.6	3.3	5.8	9.7	3166	3.8	1.16	C_183:R_617	0.77
2000-02-03	0.0	2.6	5.7	9.0	3926	3.8	1.13	C_183:R_617	0.77
2000-02-04	2.1	0.8	6.4	9.2	3399	3.8	1.31	C_183:R_617	0.71
2000-02-05	0.0	4.9	6.8	13.0	6546	3.4	1.41	C_183:R_617	0.73
2000-02-06	0.0	2.7	7.2	12.8	6236	2.7	1.39	C_183:R_617	0.68
2000-02-07	0.0	6.0	9.3	12.2	4238	4.3	1.36	C_183:R_617	0.78
2000-02-08	2.4	7.5	11.2	13.5	4031	5.4	1.54	C_183:R_617	0.79
2000-02-09	0.2	3.0	5.6	12.7	4780	5.9	1.98	C_183:R_617	0.69
2000-02-10	11.1	1.7	7.3	10.7	8044	4.0	1.51	C_183:R_617	0.70
2000-02-11	0.0	0.2	2.0	8.1	6327	2.6	1.08	C_183:R_617	0.73
2000-02-12	0.0	-3.9	3.2	7.6	8117	3.4	1.38	C_183:R_617	0.63
2000-02-13	3.8	0.3	2.6	6.3	3710	3.8	1.03	C_183:R_617	0.78
2000-02-14	2.9	-3.0	2.8	6.1	9057	2.9	1.14	C_183:R_617	0.69
2000-02-15	5.6	4.6	8.3	12.7	5224	3.2	1.45	C_183:R_617	0.73
2000-02-16	4.4	0.8	3.2	8.4	5893	3.9	1.30	C_183:R_617	0.73
2000-02-17	0.3	0.2	2.6	5.6	5604	2.9	0.91	C_183:R_617	0.79
2000-02-18	2.6	0.3	3.5	5.6	4025	3.0	0.90	C_183:R_617	0.80
2000-02-19	3.6	3.3	5.9	9.2	4395	2.6	1.04	C_183:R_617	0.78
2000-02-20	0.0	-1.2	1.4	6.1	5544	2.5	1.01	C_183:R_617	0.74
2000-02-21	0.3	-2.4	1.2	5.5	5781	1.4	0.84	C_183:R_617	0.72
2000-02-22	0.0	0.2	3.6	7.9	5393	1.7	0.98	C_183:R_617	0.73
2000-02-23	0.1	1.3	5.2	9.0	5711	1.5	0.99	C_183:R_617	0.73
2000-02-24	5.2	4.5	6.1	6.8	4429	3.2	0.75	C_183:R_617	0.89
2000-02-25	5.3	1.2	5.0	10.4	7012	3.4	1.54	C_183:R_617	0.70
2000-02-26	0.0	-2.5	4.2	10.5	11118	2.1	1.53	C_183:R_617	0.60
2000-02-27	0.0	-2.0	5.1	13.0	12824	2.7	1.97	C_183:R_617	0.56
2000-02-28	1.5	2.8	10.6	18.2	10638	4.3	2.87	C_183:R_617	0.57
2000-02-29	2.4	5.4	7.3	10.3	5291	4.0	1.25	C_183:R_617	0.82
2000-03-01	6.0	3.6	4.5	9.2	4944	4.1	1.26	C_183:R_617	0.79
2000-03-02	0.0	2.4	5.0	8.7	7165	4.3	1.39	C_183:R_617	0.77
2000-03-03	8.7	5.2	7.5	9.3	5007	6.0	1.23	C_183:R_617	0.84
2000-03-04	0.1	0.9	3.6	7.5	9804	4.5	1.44	C_183:R_617	0.76
2000-03-05	0.0	0.2	3.7	6.8	6833	3.7	1.26	C_183:R_617	0.76
2000-03-06	0.0	-0.5	3.4	11.4	14848	3.8	2.14	C_183:R_617	0.63
2000-03-07	0.7	-0.3	8.1	13.0	6027	4.7	2.26	C_183:R_617	0.60
2000-03-08	2.7	8.5	10.7	12.0	5385	5.4	1.29	C_183:R_617	0.86
2000-03-09	1.4	11.5	12.4	13.9	6010	5.7	1.25	C_183:R_617	0.89
2000-03-10	0.3	8.6	10.2	12.4	6737	2.9	1.26	C_183:R_617	0.85
2000-03-11	0.0	9.7	10.2	12.0	5616	4.8	1.11	C_183:R_617	0.89
2000-03-12	0.0	5.3	6.8	10.2	5694	1.7	1.08	C_183:R_617	0.81
2000-03-13	0.3	0.3	7.8	13.6	13804	1.9	2.01	C_183:R_617	0.60
2000-03-14	5.3	7.5	8.7	12.4	5850	3.9	1.44	C_183:R_617	0.82
2000-03-15	0.0	2.1	6.5	9.5	10922	4.7	1.77	C_183:R_617	0.74
2000-03-16	0.1	6.6	9.0	10.2	6201	3.9	1.21	C_183:R_617	0.85
2000-03-17	0.0	8.5	9.5	10.7	6086	3.4	1.05	C_183:R_617	0.90
2000-03-18	1.4	6.3	7.6	10.5	6165	2.0	1.15	C_183:R_617	0.84
2000-03-19	0.0	5.1	6.4	10.1	8026	2.3	1.32	C_183:R_617	0.81
2000-03-20	0.0	-0.4	5.8	11.3	13403	2.0	1.90	C_183:R_617	0.63
2000-03-21	0.0	-0.8	6.4	15.8	15843	1.6	2.32	C_183:R_617	0.53
2000-03-22	0.0	-0.4	8.8	18.5	17607	1.6	2.66	C_183:R_617	0.49
2000-03-23	0.2	2.4	12.0	18.7	14301	1.5	2.45	C_183:R_617	0.55
2000-03-24	3.9	7.3	12.4	17.7	9716	2.7	2.33	C_183:R_617	0.68
2000-03-25	1.3	7.6	10.7	16.8	10745	2.1	2.13	C_183:R_617	0.71
2000-03-26	0.9	5.2	7.2	11.4	8460	2.0	1.49	C_183:R_617	0.78
2000-03-27	0.1	2.4	7.3	11.9	9282	1.9	1.70	C_183:R_617	0.69
2000-03-28	0.0	2.6	4.2	7.8	8113	3.0	1.32	C_183:R_617	0.80
2000-03-29	16.9	0.5	8.0	12.1	8304	3.8	2.12	C_183:R_617	0.64
2000-03-30	15.9	3.8	4.9	8.5	7112	3.7	1.32	C_183:R_617	0.82
2000-03-31	0.5	3.5	5.4	10.4	8797	1.9	1.50	C_183:R_617	0.76
2000-04-01	3.7	0.0	5.9	10.3	9423	1.5	1.57	C_183:R_617	0.67
2000-04-02	0.0	1.5	10.7	16.2	19920	1.8	2.84	C_183:R_617	0.58
2000-04-03	0.2	2.1	12.7	20.5	15707	2.6	3.32	C_183:R_617	0.51
2000-04-04	8.9	9.1	11.6	17.3	11006	2.2	2.23	C_183:R_617	0.74
