Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.1	2.5	3.9	4.8	2019	2.1	0.41	C_188:R_626	0.89
2000-01-02	0.0	1.5	5.1	8.3	3092	2.3	0.74	C_188:R_626	0.76
2000-01-03	0.0	1.0	3.7	4.6	2047	3.2	0.59	C_188:R_626	0.85
2000-01-04	0.0	3.6	7.0	9.0	2063	3.3	0.89	C_188:R_626	0.80
2000-01-05	0.0	4.2	6.3	10.4	5306	3.1	0.79	C_188:R_626	0.78
2000-01-06	1.3	1.7	4.7	6.0	2097	2.7	0.64	C_188:R_626	0.83
2000-01-07	0.0	5.5	6.9	8.4	2582	2.3	0.52	C_188:R_626	0.87
2000-01-08	0.9	4.1	6.1	7.5	2136	2.8	0.62	C_188:R_626	0.86
2000-01-09	10.4	4.5	5.3	6.9	2157	1.7	0.43	C_188:R_626	0.89
2000-01-10	3.2	2.0	3.5	5.0	2179	1.7	0.44	C_188:R_626	0.87
2000-01-11	0.0	2.6	3.4	4.8	2203	2.2	0.43	C_188:R_626	0.89
2000-01-12	0.0	0.5	1.1	3.1	2227	2.7	0.46	C_188:R_626	0.88
2000-01-13	0.0	0.0	1.3	3.6	3280	2.5	0.49	C_188:R_626	0.85
2000-01-14	0.0	0.0	1.9	5.1	2280	1.5	0.52	C_188:R_626	0.80
2000-01-15	0.0	-3.2	-0.3	1.1	2307	1.6	0.43	C_188:R_626	0.82
2000-01-16	0.0	-2.9	1.5	4.3	4773	2.5	0.68	C_188:R_626	0.74
2000-01-17	0.0	1.0	4.5	7.0	2366	5.4	1.11	C_188:R_626	0.78
2000-01-18	1.2	2.5	5.0	8.4	2792	5.3	1.15	C_188:R_626	0.78
2000-01-19	0.0	-3.4	1.7	4.2	4021	2.8	0.78	C_188:R_626	0.73
2000-01-20	0.0	-0.5	2.9	4.8	2463	4.0	0.84	C_188:R_626	0.80
2000-01-21	0.5	2.3	3.7	6.1	2498	4.2	0.76	C_188:R_626	0.84
2000-01-22	3.5	1.6	2.6	3.8	2533	2.6	0.46	C_188:R_626	0.89
2000-01-23	2.1	-2.2	-0.1	3.0	2570	2.1	0.59	C_188:R_626	0.80
2000-01-24	0.0	-7.7	-5.6	-1.7	6955	1.4	0.35	C_188:R_626	0.76
2000-01-25	0.0	-9.1	-5.3	-1.4	6977	1.9	0.48	C_188:R_626	0.71
2000-01-26	0.0	-9.3	-4.4	-0.1	7060	2.8	0.69	C_188:R_626	0.67
2000-01-27	0.0	-6.4	-2.2	2.0	7145	3.3	0.81	C_188:R_626	0.70
2000-01-28	0.0	-2.9	2.5	5.9	5930	4.2	1.14	C_188:R_626	0.70
2000-01-29	6.9	3.5	6.7	8.0	2812	6.5	1.09	C_188:R_626	0.82
2000-01-30	6.5	7.2	9.5	10.7	2856	5.8	1.03	C_188:R_626	0.86
2000-01-31	0.0	7.9	9.8	11.0	3413	5.9	0.99	C_188:R_626	0.87
2000-02-01	0.0	6.0	8.9	11.4	4369	3.6	1.10	C_188:R_626	0.80
2000-02-02	2.2	4.8	6.5	10.2	3060	3.8	1.09	C_188:R_626	0.80
2000-02-03	0.0	2.3	5.8	8.7	3769	3.8	1.12	C_188:R_626	0.77
2000-02-04	2.0	2.9	6.4	9.2	3293	3.8	1.14	C_188:R_626	0.77
2000-02-05	0.0	5.4	9.2	14.3	6443	3.4	1.55	C_188:R_626	0.71
2000-02-06	0.0	5.6	9.3	13.5	6053	2.7	1.29	C_188:R_626	0.74
2000-02-07	0.2	8.2	9.1	11.7	4072	4.3	1.01	C_188:R_626	0.86
2000-02-08	4.1	6.9	10.8	12.7	3926	5.4	1.47	C_188:R_626	0.79
2000-02-09	0.0	2.2	5.1	12.7	4619	5.9	2.05	C_188:R_626	0.67
2000-02-10	14.0	1.7	7.1	11.4	7883	4.0	1.61	C_188:R_626	0.68
2000-02-11	0.0	-0.3	2.0	7.8	6121	2.6	1.07	C_188:R_626	0.72
2000-02-12	0.0	-2.3	3.6	7.2	7947	3.4	1.26	C_188:R_626	0.68
2000-02-13	4.5	0.8	2.9	6.0	3580	3.8	0.95	C_188:R_626	0.80
2000-02-14	2.0	-2.1	3.8	6.8	8899	2.9	1.17	C_188:R_626	0.70
2000-02-15	6.2	5.4	8.1	12.6	5046	3.2	1.37	C_188:R_626	0.75
2000-02-16	5.2	0.4	2.7	7.8	5726	3.9	1.25	C_188:R_626	0.74
2000-02-17	0.7	-0.1	2.3	5.2	5425	2.9	0.89	C_188:R_626	0.80
2000-02-18	4.5	-0.1	3.9	6.2	3882	3.0	0.99	C_188:R_626	0.77
2000-02-19	3.9	3.8	5.1	8.5	4257	2.6	0.93	C_188:R_626	0.82
2000-02-20	0.0	-1.3	0.9	5.0	5349	2.5	0.91	C_188:R_626	0.77
2000-02-21	0.4	-1.9	1.9	4.9	5586	1.4	0.79	C_188:R_626	0.75
2000-02-22	0.0	1.4	3.6	7.3	5184	1.7	0.88	C_188:R_626	0.78
2000-02-23	0.0	1.4	5.4	8.4	5504	1.5	0.94	C_188:R_626	0.75
2000-02-24	6.4	4.4	6.0	7.0	4271	3.2	0.78	C_188:R_626	0.88
2000-02-25	4.4	1.6	5.1	10.3	6825	3.4	1.50	C_188:R_626	0.71
2000-02-26	0.0	-2.0	3.5	9.5	10852	2.1	1.43	C_188:R_626	0.63
2000-02-27	0.0	-0.9	7.1	13.7	12504	2.7	2.01	C_188:R_626	0.57
2000-02-28	3.9	5.9	10.9	18.7	10432	4.3	2.76	C_188:R_626	0.63
2000-02-29	1.6	6.5	7.3	10.4	5130	4.0	1.14	C_188:R_626	0.84
2000-03-01	4.6	2.8	4.3	9.4	4770	4.1	1.36	C_188:R_626	0.76
2000-03-02	0.1	2.2	5.1	7.3	7125	4.3	1.20	C_188:R_626	0.80
2000-03-03	8.5	5.1	7.1	9.4	4825	6.0	1.26	C_188:R_626	0.83
2000-03-04	0.0	0.6	3.2	7.0	9815	4.5	1.39	C_188:R_626	0.77
2000-03-05	0.0	-0.7	3.3	6.3	6774	3.7	1.25	C_188:R_626	0.75
2000-03-06	0.1	0.8	5.3	10.7	15238	3.8	2.00	C_188:R_626	0.68
2000-03-07	3.1	1.4	8.4	13.2	5850	4.7	2.18	C_188:R_626	0.64
2000-03-08	6.2	8.1	9.9	11.4	5189	5.4	1.23	C_188:R_626	0.86
2000-03-09	3.2	10.1	11.7	14.0	5823	5.7	1.50	C_188:R_626	0.85
2000-03-10	0.8	7.7	9.9	11.6	6656	2.9	1.23	C_188:R_626	0.85
2000-03-11	0.3	8.6	9.3	12.0	5411	4.8	1.26	C_188:R_626	0.86
2000-03-12	0.0	4.9	6.7	10.3	5486	1.7	1.10	C_188:R_626	0.80
2000-03-13	0.1	1.6	7.9	13.3	14062	1.9	1.97	C_188:R_626	0.64
2000-03-14	1.9	6.8	8.4	12.0	5636	3.9	1.44	C_188:R_626	0.81
2000-03-15	0.2	1.8	6.1	8.6	10913	4.7	1.66	C_188:R_626	0.76
2000-03-16	1.3	5.4	8.5	9.8	5985	3.9	1.27	C_188:R_626	0.83
2000-03-17	0.3	7.7	9.0	10.3	5863	3.4	1.07	C_188:R_626	0.88
2000-03-18	1.5	5.7	7.1	9.8	5938	2.0	1.10	C_188:R_626	0.84
2000-03-19	0.0	4.2	5.8	9.7	7937	2.3	1.33	C_188:R_626	0.80
2000-03-20	0.0	0.3	6.1	11.6	13530	2.0	1.93	C_188:R_626	0.64
2000-03-21	0.0	0.3	7.7	15.4	16123	1.6	2.31	C_188:R_626	0.57
2000-03-22	0.0	2.6	10.7	18.3	18026	1.6	2.68	C_188:R_626	0.56
2000-03-23	0.1	6.8	13.8	18.4	14437	1.5	2.39	C_188:R_626	0.65
2000-03-24	3.5	11.1	13.1	17.6	9643	2.7	2.05	C_188:R_626	0.78
2000-03-25	0.3	7.6	12.1	17.2	10795	2.1	2.18	C_188:R_626	0.70
2000-03-26	0.1	5.6	8.2	12.4	8351	2.0	1.57	C_188:R_626	0.76
2000-03-27	0.0	3.6	7.4	11.2	9186	1.9	1.58	C_188:R_626	0.74
2000-03-28	0.0	3.4	4.7	8.2	7880	3.0	1.31	C_188:R_626	0.82
2000-03-29	17.1	1.6	8.0	12.7	8179	3.8	2.14	C_188:R_626	0.65
