Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	1.1	2.3	3.7	5.9	2080	2.1	0.51	C_178:R_612	0.85
2000-01-02	0.0	-1.4	0.4	3.9	3125	2.3	0.53	C_178:R_612	0.79
2000-01-03	0.2	-0.9	3.7	4.7	2109	3.2	0.74	C_178:R_612	0.79
2000-01-04	1.4	2.9	7.5	9.2	2125	3.3	0.97	C_178:R_612	0.77
2000-01-05	0.0	1.9	5.9	9.8	5433	3.1	0.88	C_178:R_612	0.73
2000-01-06	0.0	0.3	3.9	5.7	2161	2.7	0.70	C_178:R_612	0.79
2000-01-07	0.0	3.3	6.8	8.9	2635	2.3	0.72	C_178:R_612	0.79
2000-01-08	5.3	4.5	6.2	7.2	2201	2.8	0.54	C_178:R_612	0.88
2000-01-09	7.6	4.7	5.6	6.5	2223	1.7	0.38	C_178:R_612	0.91
2000-01-10	0.1	2.3	3.0	5.5	2246	1.7	0.45	C_178:R_612	0.86
2000-01-11	0.0	1.3	3.4	3.9	2271	2.2	0.43	C_178:R_612	0.88
2000-01-12	0.0	-0.4	1.0	3.9	2296	2.7	0.59	C_178:R_612	0.82
2000-01-13	0.0	-0.9	1.2	4.1	3323	2.5	0.58	C_178:R_612	0.80
2000-01-14	0.0	-0.5	0.7	3.1	2351	1.5	0.42	C_178:R_612	0.85
2000-01-15	0.0	-2.9	0.7	2.2	2379	1.6	0.48	C_178:R_612	0.80
2000-01-16	0.0	-1.4	1.8	3.1	4836	2.5	0.49	C_178:R_612	0.82
2000-01-17	0.0	2.0	6.4	7.1	2441	5.4	1.01	C_178:R_612	0.80
2000-01-18	0.5	2.7	4.9	8.4	2857	5.3	1.12	C_178:R_612	0.79
2000-01-19	0.2	0.5	3.0	5.1	4112	2.8	0.62	C_178:R_612	0.82
2000-01-20	0.0	0.6	3.4	5.9	2541	4.0	0.88	C_178:R_612	0.80
2000-01-21	1.2	2.7	4.3	6.0	2577	4.2	0.71	C_178:R_612	0.86
2000-01-22	0.8	2.5	3.4	4.9	2614	2.6	0.50	C_178:R_612	0.89
2000-01-23	2.3	-1.8	0.2	3.4	2652	2.1	0.60	C_178:R_612	0.80
2000-01-24	0.0	-8.0	-5.2	-1.0	7102	1.4	0.38	C_178:R_612	0.73
2000-01-25	0.0	-9.4	-5.9	0.0	7127	1.9	0.56	C_178:R_612	0.67
2000-01-26	0.0	-10.9	-5.4	0.4	7212	2.8	0.77	C_178:R_612	0.62
2000-01-27	0.0	-8.1	-2.9	2.3	7300	3.3	0.89	C_178:R_612	0.65
2000-01-28	0.0	-5.1	1.8	5.4	6061	4.2	1.20	C_178:R_612	0.65
2000-01-29	7.6	3.0	7.4	8.5	2904	6.5	1.24	C_178:R_612	0.79
2000-01-30	3.0	6.3	8.8	10.9	2950	5.8	1.20	C_178:R_612	0.82
2000-01-31	0.0	7.9	9.7	12.3	3495	5.9	1.25	C_178:R_612	0.83
2000-02-01	0.0	4.0	6.8	11.9	4430	3.6	1.35	C_178:R_612	0.73
2000-02-02	2.5	3.5	6.3	10.4	3158	3.8	1.24	C_178:R_612	0.76
2000-02-03	0.0	1.5	5.3	10.4	3916	3.8	1.40	C_178:R_612	0.70
2000-02-04	2.0	3.5	6.0	9.2	3391	3.8	1.08	C_178:R_612	0.79
2000-02-05	0.0	4.0	7.3	12.8	6466	3.4	1.45	C_178:R_612	0.71
2000-02-06	0.0	1.5	8.5	12.1	6089	2.7	1.38	C_178:R_612	0.66
2000-02-07	0.0	7.0	9.1	11.9	4228	4.3	1.19	C_178:R_612	0.82
2000-02-08	2.2	7.3	11.1	13.6	4021	5.4	1.59	C_178:R_612	0.78
2000-02-09	0.9	2.0	5.6	12.7	4701	5.9	2.07	C_178:R_612	0.66
2000-02-10	8.2	3.1	7.1	10.6	7959	4.0	1.39	C_178:R_612	0.74
2000-02-11	0.0	1.5	3.4	8.3	6244	2.6	1.02	C_178:R_612	0.76
