Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.2	2.5	4.0	4.1	2015	2.1	0.35	C_187:R_623	0.91
2000-01-02	0.0	0.5	2.2	5.9	3086	2.3	0.59	C_187:R_623	0.79
2000-01-03	0.0	0.4	4.0	4.3	2042	3.2	0.61	C_187:R_623	0.84
2000-01-04	0.0	3.1	7.4	8.1	2058	3.3	0.82	C_187:R_623	0.81
2000-01-05	0.0	1.3	4.1	10.8	5450	3.1	1.04	C_187:R_623	0.69
2000-01-06	0.9	-1.5	3.7	4.0	2093	2.7	0.67	C_187:R_623	0.79
2000-01-07	0.0	4.0	6.6	8.7	2577	2.3	0.66	C_187:R_623	0.82
2000-01-08	1.5	2.5	5.6	6.8	2132	2.8	0.68	C_187:R_623	0.83
2000-01-09	10.5	5.0	5.6	6.3	2153	1.7	0.35	C_187:R_623	0.92
2000-01-10	2.1	2.7	3.7	4.6	2175	1.7	0.37	C_187:R_623	0.90
2000-01-11	0.0	3.0	3.9	4.5	2198	2.2	0.37	C_187:R_623	0.91
2000-01-12	0.0	0.9	1.3	2.9	2223	2.7	0.41	C_187:R_623	0.90
2000-01-13	0.0	-0.9	0.8	3.7	3274	2.5	0.55	C_187:R_623	0.81
2000-01-14	0.0	-2.0	1.3	4.3	2275	1.5	0.55	C_187:R_623	0.76
2000-01-15	0.0	-2.7	0.6	1.3	2303	1.6	0.42	C_187:R_623	0.83
2000-01-16	0.0	-2.2	1.7	4.5	4820	2.5	0.65	C_187:R_623	0.75
2000-01-17	0.0	1.8	5.8	7.1	2362	5.4	1.04	C_187:R_623	0.80
2000-01-18	0.2	4.2	6.0	9.3	2787	5.3	1.10	C_187:R_623	0.81
2000-01-19	0.0	-2.2	2.4	5.6	4071	2.8	0.84	C_187:R_623	0.72
2000-01-20	0.0	0.9	4.3	5.8	2459	4.0	0.84	C_187:R_623	0.81
2000-01-21	0.5	3.0	4.7	5.7	2493	4.2	0.64	C_187:R_623	0.88
2000-01-22	2.9	2.3	4.0	4.3	2529	2.6	0.46	C_187:R_623	0.90
2000-01-23	3.3	-1.5	0.5	4.2	2565	2.1	0.65	C_187:R_623	0.78
2000-01-24	0.0	-7.7	-5.3	-1.3	7123	1.4	0.36	C_187:R_623	0.75
2000-01-25	0.0	-10.3	-6.1	-0.7	7147	1.9	0.55	C_187:R_623	0.66
2000-01-26	0.0	-10.9	-5.7	-0.3	7231	2.8	0.73	C_187:R_623	0.63
2000-01-27	0.0	-7.8	-2.8	1.1	7318	3.3	0.79	C_187:R_623	0.68
2000-01-28	0.0	-5.9	2.1	6.0	6045	4.2	1.30	C_187:R_623	0.62
2000-01-29	2.1	3.6	7.8	8.7	2808	6.5	1.20	C_187:R_623	0.81
2000-01-30	11.3	6.5	9.8	10.9	2852	5.8	1.17	C_187:R_623	0.83
2000-01-31	0.0	9.4	10.3	11.7	3408	5.9	0.88	C_187:R_623	0.89
2000-02-01	0.0	5.7	8.3	11.1	4362	3.6	1.09	C_187:R_623	0.80
2000-02-02	2.8	3.7	6.1	9.6	3056	3.8	1.11	C_187:R_623	0.79
2000-02-03	0.0	3.0	6.0	8.9	3829	3.8	1.08	C_187:R_623	0.78
2000-02-04	2.0	1.2	6.7	9.1	3288	3.8	1.27	C_187:R_623	0.73
2000-02-05	0.0	5.3	7.1	12.9	6435	3.4	1.36	C_187:R_623	0.74
2000-02-06	0.0	3.1	7.5	12.7	6045	2.7	1.36	C_187:R_623	0.69
2000-02-07	0.1	6.4	9.6	12.1	4135	4.3	1.30	C_187:R_623	0.79
2000-02-08	3.5	7.9	11.5	13.4	3920	5.4	1.47	C_187:R_623	0.80
2000-02-09	0.0	3.4	5.9	12.6	4613	5.9	1.92	C_187:R_623	0.70
2000-02-10	13.2	2.1	7.6	10.6	7945	4.0	1.47	C_187:R_623	0.71
2000-02-11	0.0	0.6	2.3	8.0	6185	2.6	1.05	C_187:R_623	0.74
2000-02-12	0.0	-3.5	3.5	7.5	8010	3.4	1.35	C_187:R_623	0.64
2000-02-13	3.9	0.7	2.9	6.2	3575	3.8	0.98	C_187:R_623	0.79
2000-02-14	2.2	-2.6	3.1	6.0	8889	2.9	1.11	C_187:R_623	0.70
2000-02-15	6.1	5.0	8.6	12.6	5040	3.2	1.41	C_187:R_623	0.74
2000-02-16	5.2	1.2	3.5	8.3	5719	3.9	1.26	C_187:R_623	0.75
2000-02-17	0.5	0.6	2.9	5.5	5419	2.9	0.87	C_187:R_623	0.81
2000-02-18	3.4	0.7	3.8	5.5	3878	3.0	0.86	C_187:R_623	0.81
2000-02-19	3.6	3.7	6.2	9.1	4252	2.6	1.00	C_187:R_623	0.80
2000-02-20	0.0	-0.8	1.7	6.0	5343	2.5	0.98	C_187:R_623	0.75
2000-02-21	0.3	-2.0	1.5	5.4	5581	1.4	0.82	C_187:R_623	0.73
2000-02-22	0.0	0.6	3.9	7.8	5259	1.7	0.95	C_187:R_623	0.75
2000-02-23	0.0	1.7	5.5	8.9	5499	1.5	0.97	C_187:R_623	0.75
2000-02-24	5.7	4.9	6.4	6.7	4266	3.2	0.69	C_187:R_623	0.91
2000-02-25	4.6	1.6	5.3	10.3	6818	3.4	1.50	C_187:R_623	0.71
2000-02-26	0.0	-2.1	4.5	10.4	10925	2.1	1.51	C_187:R_623	0.61
2000-02-27	0.0	-1.6	5.4	12.9	12662	2.7	1.95	C_187:R_623	0.57
2000-02-28	3.2	3.2	10.9	18.1	10508	4.3	2.83	C_187:R_623	0.58
2000-02-29	1.8	5.8	7.6	10.2	5125	4.0	1.18	C_187:R_623	0.83
2000-03-01	5.8	3.7	4.6	9.0	4766	4.1	1.22	C_187:R_623	0.80
2000-03-02	0.0	2.5	5.1	8.5	7118	4.3	1.35	C_187:R_623	0.78
2000-03-03	8.4	5.3	7.6	9.1	4821	6.0	1.18	C_187:R_623	0.85
2000-03-04	0.0	1.0	3.7	7.3	9807	4.5	1.40	C_187:R_623	0.77
2000-03-05	0.0	0.3	3.8	6.6	6768	3.7	1.22	C_187:R_623	0.77
2000-03-06	0.1	-0.4	3.5	11.2	15136	3.8	2.12	C_187:R_623	0.64
2000-03-07	1.8	-0.2	8.2	12.8	5845	4.7	2.22	C_187:R_623	0.61
2000-03-08	4.2	8.6	10.8	11.8	5185	5.4	1.23	C_187:R_623	0.87
2000-03-09	2.2	11.6	12.5	13.7	5819	5.7	1.17	C_187:R_623	0.90
2000-03-10	0.5	8.7	10.3	12.2	6557	2.9	1.21	C_187:R_623	0.86
2000-03-11	0.1	9.8	10.3	11.8	5407	4.8	1.05	C_187:R_623	0.90
2000-03-12	0.0	5.4	6.9	10.0	5482	1.7	1.05	C_187:R_623	0.82
2000-03-13	0.1	0.4	7.9	13.4	13955	1.9	2.00	C_187:R_623	0.61
2000-03-14	3.3	7.6	8.8	12.2	5632	3.9	1.39	C_187:R_623	0.83
2000-03-15	0.1	2.2	6.6	9.3	10906	4.7	1.73	C_187:R_623	0.75
2000-03-16	0.5	6.7	9.1	10.0	5981	3.9	1.16	C_187:R_623	0.86
2000-03-17	0.1	8.6	9.6	10.5	5859	3.4	1.00	C_187:R_623	0.91
2000-03-18	1.5	6.4	7.7	10.3	5935	2.0	1.11	C_187:R_623	0.84
2000-03-19	0.0	5.2	6.5	9.9	7932	2.3	1.29	C_187:R_623	0.82
2000-03-20	0.0	-0.3	5.9	11.1	13420	2.0	1.88	C_187:R_623	0.64
2000-03-21	0.0	-0.7	6.5	15.6	16010	1.6	2.32	C_187:R_623	0.54
2000-03-22	0.0	-0.3	8.9	18.3	17912	1.6	2.67	C_187:R_623	0.50
2000-03-23	0.1	2.5	12.1	18.5	14324	1.5	2.43	C_187:R_623	0.55
2000-03-24	3.8	7.4	12.5	17.5	9637	2.7	2.29	C_187:R_623	0.69
2000-03-25	0.6	7.7	10.8	16.6	10684	2.1	2.10	C_187:R_623	0.72
2000-03-26	0.5	5.3	7.3	11.2	8346	2.0	1.46	C_187:R_623	0.79
2000-03-27	0.0	2.5	7.4	11.7	9181	1.9	1.67	C_187:R_623	0.70
2000-03-28	0.0	2.7	4.3	7.6	7876	3.0	1.28	C_187:R_623	0.81
2000-03-29	18.0	0.6	8.1	11.9	8066	3.8	2.08	C_187:R_623	0.65
2000-03-30	16.0	3.9	5.0	8.3	6844	3.7	1.27	C_187:R_623	0.83
2000-03-31	0.4	3.6	5.5	10.2	8560	1.9	1.47	C_187:R_623	0.77
2000-04-01	2.7	0.5	6.0	10.4	9085	1.5	1.55	C_187:R_623	0.68
2000-04-02	0.0	2.0	10.8	16.3	19579	1.8	2.83	C_187:R_623	0.59
2000-04-03	0.1	2.6	12.8	20.6	15492	2.6	3.31	C_187:R_623	0.52
2000-04-04	7.6	9.6	11.7	17.4	10685	2.2	2.19	C_187:R_623	0.75
2000-04-05	4.5	6.0	7.4	11.2	7401	3.2	1.52	C_187:R_623	0.81
