Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.0	2.4	3.9	4.1	2091	2.1	0.35	C_181:R_619	0.91
2000-01-02	0.0	0.4	2.1	5.9	3189	2.3	0.59	C_181:R_619	0.79
2000-01-03	0.0	0.3	3.9	4.3	2120	3.2	0.61	C_181:R_619	0.83
2000-01-04	0.0	3.0	7.3	8.1	2136	3.3	0.83	C_181:R_619	0.81
2000-01-05	0.0	1.2	4.0	10.8	5506	3.1	1.04	C_181:R_619	0.69
2000-01-06	0.8	-1.6	3.6	4.0	2172	2.7	0.67	C_181:R_619	0.78
2000-01-07	0.0	3.9	6.5	8.7	2647	2.3	0.66	C_181:R_619	0.82
2000-01-08	1.4	2.4	5.5	6.8	2212	2.8	0.68	C_181:R_619	0.83
2000-01-09	9.4	4.9	5.5	6.3	2234	1.7	0.35	C_181:R_619	0.92
2000-01-10	1.8	2.6	3.6	4.6	2257	1.7	0.37	C_181:R_619	0.90
2000-01-11	0.0	2.9	3.8	4.5	2282	2.2	0.37	C_181:R_619	0.91
2000-01-12	0.0	0.8	1.2	2.9	2307	2.7	0.41	C_181:R_619	0.89
2000-01-13	0.0	-1.0	0.7	3.7	3390	2.5	0.55	C_181:R_619	0.81
2000-01-14	0.0	-2.1	1.2	4.3	2361	1.5	0.55	C_181:R_619	0.76
2000-01-15	0.0	-2.8	0.5	1.3	2390	1.6	0.42	C_181:R_619	0.83
2000-01-16	0.0	-2.3	1.6	4.5	4909	2.5	0.66	C_181:R_619	0.75
2000-01-17	0.0	1.7	5.7	7.1	2452	5.4	1.04	C_181:R_619	0.80
2000-01-18	0.2	4.1	5.9	9.3	2924	5.3	1.11	C_181:R_619	0.80
2000-01-19	0.0	-2.3	2.3	5.6	4128	2.8	0.84	C_181:R_619	0.72
2000-01-20	0.0	0.8	4.2	5.8	2552	4.0	0.85	C_181:R_619	0.81
2000-01-21	0.4	2.9	4.6	5.7	2588	4.2	0.64	C_181:R_619	0.87
2000-01-22	2.6	2.2	3.9	4.3	2625	2.6	0.46	C_181:R_619	0.89
2000-01-23	2.9	-1.6	0.4	4.2	2663	2.1	0.65	C_181:R_619	0.78
2000-01-24	0.0	-7.8	-5.4	-1.3	7185	1.4	0.36	C_181:R_619	0.75
2000-01-25	0.0	-10.4	-6.2	-0.7	7210	1.9	0.55	C_181:R_619	0.66
2000-01-26	0.0	-11.0	-5.8	-0.3	7296	2.8	0.73	C_181:R_619	0.63
2000-01-27	0.0	-7.9	-2.9	1.1	7385	3.3	0.79	C_181:R_619	0.68
2000-01-28	0.0	-6.0	2.0	6.0	6142	4.2	1.30	C_181:R_619	0.61
2000-01-29	1.8	3.5	7.7	8.7	2915	6.5	1.21	C_181:R_619	0.80
2000-01-30	10.1	6.4	9.7	10.9	2961	5.8	1.19	C_181:R_619	0.83
