Date	Precipitation	TempMin	TempMean	TempMax	Radiation	Windspeed	RefET	Gridcell	RelHumCalc
2000-01-01	2.1	2.3	3.9	4.3	2094	2.1	0.37	C_184:R_621	0.90
2000-01-02	0.0	0.3	2.1	6.1	3193	2.3	0.61	C_184:R_621	0.78
2000-01-03	0.0	0.2	3.9	4.5	2123	3.2	0.64	C_184:R_621	0.83
2000-01-04	0.0	2.9	7.3	8.3	2139	3.3	0.86	C_184:R_621	0.80
2000-01-05	0.0	1.1	4.0	11.0	5563	3.1	1.06	C_184:R_621	0.68
2000-01-06	0.8	-1.7	3.6	4.2	2175	2.7	0.69	C_184:R_621	0.78
2000-01-07	0.0	3.8	6.5	8.9	2701	2.3	0.69	C_184:R_621	0.81
2000-01-08	1.5	2.3	5.5	7.0	2215	2.8	0.71	C_184:R_621	0.82
2000-01-09	10.0	4.8	5.5	6.5	2237	1.7	0.37	C_184:R_621	0.91
2000-01-10	2.0	2.5	3.6	4.8	2260	1.7	0.39	C_184:R_621	0.89
2000-01-11	0.0	2.8	3.8	4.7	2285	2.2	0.40	C_184:R_621	0.90
2000-01-12	0.0	0.7	1.2	3.1	2310	2.7	0.44	C_184:R_621	0.88
2000-01-13	0.0	-1.1	0.7	3.9	3394	2.5	0.58	C_184:R_621	0.80
2000-01-14	0.0	-2.2	1.2	4.5	2365	1.5	0.57	C_184:R_621	0.75
2000-01-15	0.0	-2.9	0.5	1.5	2394	1.6	0.44	C_184:R_621	0.82
2000-01-16	0.0	-2.4	1.6	4.7	4969	2.5	0.68	C_184:R_621	0.74
2000-01-17	0.0	1.6	5.7	7.3	2455	5.4	1.09	C_184:R_621	0.79
2000-01-18	0.2	4.0	5.9	9.5	2928	5.3	1.15	C_184:R_621	0.80
2000-01-19	0.0	-2.4	2.3	5.8	4189	2.8	0.87	C_184:R_621	0.71
2000-01-20	0.0	0.7	4.2	6.0	2555	4.0	0.88	C_184:R_621	0.80
2000-01-21	0.5	2.8	4.6	5.9	2591	4.2	0.68	C_184:R_621	0.86
2000-01-22	2.7	2.1	3.9	4.5	2628	2.6	0.49	C_184:R_621	0.89
2000-01-23	3.1	-1.7	0.4	4.4	2666	2.1	0.67	C_184:R_621	0.77
2000-01-24	0.0	-7.9	-5.4	-1.1	7308	1.4	0.37	C_184:R_621	0.74
2000-01-25	0.0	-10.5	-6.2	-0.5	7335	1.9	0.56	C_184:R_621	0.65
2000-01-26	0.0	-11.1	-5.8	-0.1	7422	2.8	0.74	C_184:R_621	0.62
2000-01-27	0.0	-8.0	-2.9	1.3	7512	3.3	0.81	C_184:R_621	0.67
2000-01-28	0.0	-6.1	2.0	6.2	6208	4.2	1.33	C_184:R_621	0.61
2000-01-29	2.0	3.4	7.7	8.9	2918	6.5	1.26	C_184:R_621	0.80
2000-01-30	10.7	6.3	9.7	11.1	2964	5.8	1.24	C_184:R_621	0.82
2000-01-31	0.0	9.2	10.2	11.9	3574	5.9	0.95	C_184:R_621	0.88
2000-02-01	0.0	5.5	8.1	11.2	4450	3.6	1.12	C_184:R_621	0.79
2000-02-02	3.0	3.5	5.9	9.7	3172	3.8	1.14	C_184:R_621	0.78
2000-02-03	0.0	2.8	5.8	9.0	3933	3.8	1.11	C_184:R_621	0.78
2000-02-04	2.0	1.0	6.5	9.2	3406	3.8	1.29	C_184:R_621	0.72
2000-02-05	0.0	5.1	6.9	13.0	6558	3.4	1.39	C_184:R_621	0.74
2000-02-06	0.0	2.9	7.3	12.8	6180	2.7	1.38	C_184:R_621	0.68
2000-02-07	0.0	6.2	9.4	12.2	4245	4.3	1.33	C_184:R_621	0.79
2000-02-08	3.0	7.7	11.3	13.5	4038	5.4	1.52	C_184:R_621	0.79
2000-02-09	0.0	3.2	5.7	12.7	4788	5.9	1.96	C_184:R_621	0.69
2000-02-10	12.1	1.9	7.4	10.7	8057	4.0	1.50	C_184:R_621	0.71
2000-02-11	0.0	0.4	2.1	8.1	6267	2.6	1.07	C_184:R_621	0.73
2000-02-12	0.0	-3.7	3.3	7.6	8129	3.4	1.37	C_184:R_621	0.64
2000-02-13	3.6	0.5	2.7	6.3	3717	3.8	1.01	C_184:R_621	0.78
2000-02-14	2.2	-2.8	2.9	6.1	8998	2.9	1.13	C_184:R_621	0.69
2000-02-15	5.7	4.8	8.4	12.7	5232	3.2	1.44	C_184:R_621	0.73
2000-02-16	4.7	1.0	3.3	8.4	5828	3.9	1.29	C_184:R_621	0.74
2000-02-17	0.4	0.4	2.7	5.6	5613	2.9	0.90	C_184:R_621	0.80
2000-02-18	2.7	0.5	3.6	5.6	4031	3.0	0.88	C_184:R_621	0.80
2000-02-19	3.5	3.5	6.0	9.2	4402	2.6	1.03	C_184:R_621	0.79
2000-02-20	0.0	-1.0	1.5	6.1	5552	2.5	1.00	C_184:R_621	0.74
2000-02-21	0.3	-2.2	1.3	5.5	5789	1.4	0.83	C_184:R_621	0.73
2000-02-22	0.0	0.4	3.7	7.9	5400	1.7	0.97	C_184:R_621	0.74
2000-02-23	0.1	1.5	5.3	9.0	5718	1.5	0.99	C_184:R_621	0.74
2000-02-24	5.2	4.7	6.2	6.8	4435	3.2	0.73	C_184:R_621	0.90
2000-02-25	4.6	1.4	5.1	10.4	6940	3.4	1.53	C_184:R_621	0.70
