iso-date,tmin,tmax,tavg,globrad,precip,et0
2011-01-01,-0.65,1.45,0.4,0.98465,0.0,0.19862
2011-01-02,-0.55,3.5,1.48,2.94354,0.0,0.80387
2011-01-03,-3.32,2.48,-0.42,6.22622,0.0,0.70508
2011-01-04,-4.41,-1.87,-3.14,0.97117,0.0,0.19993
2011-01-05,-5.64,7.04,0.7,3.90104,0.6,0.49936
2011-01-06,0.54,9.95,5.24,1.3063,6.8,0.0
2011-01-07,8.35,13.53,10.94,1.65323,3.2,0.69233
2011-01-08,8.46,14.05,11.26,2.75524,1.2,1.19475
2011-01-09,5.36,9.66,7.51,0.64765,12.9,0.51121
2011-01-10,-1.38,6.59,2.6,5.0539,0.0,0.40666
2011-01-11,0.73,7.08,3.91,1.3557,3.2,0.20444
2011-01-12,4.15,9.69,6.92,1.34343,1.2,0.81175
2011-01-13,5.97,10.8,8.38,0.97746,0.0,0.01397
2011-01-14,7.96,12.75,10.36,2.9911,0.0,0.99831
2011-01-15,5.23,13.86,9.54,6.43192,0.0,1.10169
2011-01-16,-1.97,3.51,0.77,2.95723,0.0,0.08766
2011-01-17,-1.46,5.31,1.92,3.02482,0.0,0.18968
2011-01-18,0.45,9.06,4.75,3.10243,0.4,0.29629
2011-01-19,1.26,5.99,3.63,4.96316,0.0,1.10271
2011-01-20,-0.53,4.41,1.94,4.33761,0.0,0.80923
2011-01-21,-1.54,2.7,0.58,7.32459,0.0,1.30691
2011-01-22,-3.33,1.31,-1.01,4.70999,0.0,1.20498
2011-01-23,-7.08,3.21,-1.94,7.67986,0.0,0.80829
2011-01-24,-3.02,2.8,-0.11,2.07169,0.0,0.20879
2011-01-25,0.85,7.81,4.33,5.12799,0.0,1.00747
2011-01-26,1.67,4.38,3.02,3.13462,2.0,0.50594
2011-01-27,0.46,5.18,2.82,4.03165,0.0,0.80591
2011-01-28,0.26,4.38,2.32,3.23843,0.0,0.7944
2011-01-29,-2.83,3.32,0.24,8.42681,0.0,0.90024
2011-01-30,-3.24,-0.75,-2.0,1.85493,0.0,0.50508
2011-01-31,-6.25,-1.15,-3.7,1.40425,0.0,0.20809
2011-02-01,-2.25,-0.83,-1.54,2.31414,0.0,0.61112
2011-02-02,-3.62,1.58,-1.02,3.52351,0.0,0.51277
2011-02-03,-0.31,2.88,1.28,2.06272,0.8,0.21393
2011-02-04,1.65,8.6,5.13,3.58897,0.0,0.41022
2011-02-05,6.75,12.96,9.86,7.34958,0.0,1.70207
2011-02-06,-2.85,4.99,1.07,3.58568,0.0,0.63665
2011-02-07,-0.03,5.55,2.76,5.43545,0.0,0.56727
2011-02-08,-5.94,7.78,0.92,8.25768,0.0,0.39097
2011-02-09,1.22,3.55,2.38,1.76931,0.0,0.07213
2011-02-10,-0.19,7.07,3.44,4.51664,0.0,0.5768
2011-02-11,-2.33,9.03,3.35,7.82017,0.0,0.49183
2011-02-12,-4.14,8.23,2.05,5.46961,0.2,0.80688
2011-02-13,-2.17,9.74,3.79,7.39651,0.0,0.59194
2011-02-14,-0.21,7.19,3.49,1.54051,5.0,0.00607
2011-02-15,2.07,9.19,5.63,3.93891,1.2,0.50493
2011-02-16,-0.33,12.27,5.97,9.55675,0.0,0.90134
2011-02-17,-0.85,6.14,2.65,3.6016,0.0,0.39639
2011-02-18,2.46,5.48,3.97,2.37525,0.0,0.61053
2011-02-19,2.16,4.92,3.54,4.35841,3.0,0.69511
2011-02-20,3.36,7.3,5.33,1.50382,0.0,0.50818
2011-02-21,3.35,9.99,6.67,7.71014,0.6,1.10597
2011-02-22,1.76,4.09,2.92,2.93149,0.2,0.70973
2011-02-23,-3.44,5.07,0.82,9.19035,4.2,0.80818
2011-02-24,2.06,6.5,4.28,2.97034,2.4,0.21187
2011-02-25,5.84,12.08,8.96,5.19929,0.4,1.00547
2011-02-26,4.47,9.2,6.83,3.53298,4.6,0.61338
