iso-date,tmin,tmax,tavg,globrad,precip,et0
2009-01-01,-0.27,1.41,0.57,1.6187,0.0,0.10106
2009-01-02,-0.38,2.01,0.81,1.26141,0.0,0.39486
2009-01-03,-2.28,0.82,-0.73,5.76508,0.0,0.69764
2009-01-04,-9.79,-1.23,-5.51,5.94895,0.0,0.20213
2009-01-05,-6.24,-1.62,-3.93,1.7338,0.8,0.11808
2009-01-06,-8.39,-2.25,-5.32,3.61308,0.0,0.31107
2009-01-07,-12.46,-2.06,-7.26,6.21303,0.0,0.29985
2009-01-08,-4.75,0.17,-2.29,6.23584,0.0,0.70319
2009-01-09,-12.06,-1.95,-7.0,5.40335,0.0,0.2882
2009-01-10,-12.91,-1.23,-7.07,6.15992,0.0,0.28239
2009-01-11,-11.56,5.58,-2.99,6.40985,0.0,0.48876
2009-01-12,-7.61,5.54,-1.04,5.23105,0.0,0.46703
2009-01-13,0.0,7.71,3.85,3.80967,0.4,1.15724
2009-01-14,0.34,3.46,1.9,1.50559,1.0,0.10728
2009-01-15,0.61,6.88,3.75,6.54437,0.0,0.79059
2009-01-16,-0.87,7.38,3.25,5.51353,0.0,0.68585
2009-01-17,3.56,8.84,6.2,3.63352,0.4,0.88829
2009-01-18,2.02,8.56,5.29,2.41679,8.0,0.90841
2009-01-19,1.12,12.58,6.85,3.35466,11.8,0.61226
2009-01-20,0.53,8.58,4.55,6.79199,0.0,0.90959
2009-01-21,-0.01,6.49,3.24,3.27665,0.0,0.61476
2009-01-22,-2.88,9.93,3.52,1.50879,5.0,0.40217
2009-01-23,5.32,13.31,9.32,3.41643,4.0,1.90537
2009-01-24,0.65,5.56,3.1,1.26241,0.0,0.62332
2009-01-25,-2.67,7.91,2.62,7.57657,1.2,0.69879
2009-01-26,1.91,6.86,4.38,5.3063,0.2,0.50124
2009-01-27,0.74,5.5,3.12,1.99242,0.2,0.32298
2009-01-28,-1.35,1.73,0.19,4.4203,0.2,0.31868
2009-01-29,-3.52,3.62,0.05,7.34195,0.0,0.40649
2009-01-30,-4.12,4.86,0.37,7.95076,0.2,0.47735
2009-01-31,-2.69,4.29,0.8,7.9463,0.0,0.89373
2009-02-01,-4.19,2.21,-0.99,6.75427,3.4,0.80602
2009-02-02,-0.17,8.29,4.06,3.81125,4.2,0.69919
2009-02-03,-0.65,0.44,-0.11,2.54723,1.4,0.31145
2009-02-04,-2.27,5.74,1.74,5.13896,0.0,0.40062
2009-02-05,0.12,12.55,6.33,6.22427,0.2,0.89572
2009-02-06,-0.55,12.09,5.77,6.79977,0.0,0.5106
2009-02-07,1.67,5.62,3.65,1.81639,0.8,0.43113
2009-02-08,-1.47,5.62,2.08,5.84583,0.4,0.72012
2009-02-09,-1.02,11.67,5.33,1.74151,9.0,0.62272
2009-02-10,3.55,6.69,5.12,2.58939,3.2,0.82981
2009-02-11,-0.59,5.39,2.4,6.73824,0.8,0.52969
2009-02-12,0.33,4.73,2.53,6.36876,0.0,0.72726
2009-02-13,-0.58,2.3,0.86,1.96456,0.2,0.32899
2009-02-14,-2.45,4.42,0.98,5.20061,0.0,0.72859
2009-02-15,-7.15,4.08,-1.54,9.20254,0.6,0.41188
2009-02-16,-3.54,5.68,1.07,1.48926,3.2,0.11
2009-02-17,3.62,8.5,6.06,1.84662,0.2,0.31593
2009-02-18,0.24,4.18,2.21,7.15689,0.0,1.02918
2009-02-19,-7.46,5.16,-1.15,11.32297,0.0,0.51064
2009-02-20,-1.17,8.12,3.47,6.18432,0.0,0.60653
2009-02-21,-1.1,7.38,3.14,5.23805,0.0,0.40934
2009-02-22,3.48,8.97,6.23,2.26115,0.4,0.6262
2009-02-23,4.73,7.92,6.33,2.46926,1.6,0.63134
2009-02-24,4.34,7.6,5.97,4.95017,0.0,1.13307
2009-02-25,-3.1,9.2,3.05,12.28879,0.2,0.79766
2009-02-26,-4.17,9.2,2.51,7.7891,0.2,0.28975
2009-02-27,2.15,12.02,7.08,10.97971,0.0,1.20317
2009-02-28,-0.57,15.14,7.29,13.09079,0.2,0.97026
2009-03-01,1.28,13.66,7.47,4.71268,0.0,0.99801
2009-03-02,6.21,11.85,9.03,4.12604,0.0,1.7288
2009-03-03,-3.65,11.78,4.06,10.07554,0.2,1.31166
2009-03-04,-0.46,7.04,3.29,3.31362,4.8,0.50552
2009-03-05,-1.27,5.0,1.86,4.98564,0.2,0.52298
2009-03-06,0.87,9.11,4.99,12.99422,0.0,1.83427
2009-03-07,-2.76,9.87,3.55,5.48348,0.2,0.62875
2009-03-08,3.17,13.5,8.34,6.00216,4.4,1.1404
2009-03-09,3.06,11.03,7.04,9.10539,0.4,2.04163
2009-03-10,3.99,10.6,7.29,3.1336,8.2,1.22525
2009-03-11,0.69,10.39,5.54,14.0619,0.2,1.32377
2009-03-12,-1.2,12.61,5.71,7.22023,0.0,0.51254
2009-03-13,5.48,13.58,9.53,12.92641,0.2,1.38348
2009-03-14,1.93,16.23,9.08,8.40929,0.0,1.35442
2009-03-15,3.86,14.15,9.01,15.59247,0.2,1.90475
2009-03-16,1.42,13.83,7.63,16.60171,0.0,1.60022
2009-03-17,-0.33,15.3,7.49,16.43911,0.0,1.49092
2009-03-18,-0.15,16.88,8.37,17.62797,0.2,2.47349
2009-03-19,-1.67,15.84,7.08,16.96937,0.0,2.66747
2009-03-20,1.42,10.09,5.75,18.33847,0.0,2.80684
2009-03-21,-4.86,10.65,2.9,18.13481,0.0,2.01341
2009-03-22,-1.94,8.36,3.21,12.16435,0.0,1.00594
2009-03-23,-0.09,15.44,7.67,14.44918,3.2,1.92521
2009-03-24,2.75,9.13,5.94,8.05765,0.0,1.85538
2009-03-25,1.22,12.43,6.83,6.62706,3.2,1.84705
2009-03-26,5.13,11.47,8.3,8.65044,3.0,1.51752
2009-03-27,5.54,12.47,9.01,10.01156,2.2,2.11508
2009-03-28,6.35,12.5,9.43,9.47331,1.2,2.62235
2009-03-29,-1.2,9.49,4.15,10.75937,0.0,1.31478
2009-03-30,-1.22,12.49,5.63,19.31225,0.0,2.32346
2009-03-31,-0.15,15.15,7.5,19.89494,0.0,2.72299
2009-04-01,3.76,14.36,9.06,16.2325,0.0,2.51109
2009-04-02,2.71,17.87,10.29,15.3001,0.2,2.11313
2009-04-03,3.78,19.09,11.44,10.35148,0.0,1.50876
2009-04-04,9.29,15.92,12.61,11.10471,0.0,1.99927
2009-04-05,4.04,17.04,10.54,16.11283,0.0,2.11877
2009-04-06,2.22,22.84,12.53,19.60472,0.0,2.97936
2009-04-07,7.15,13.28,10.21,5.01338,3.8,0.8317
2009-04-08,3.28,16.01,9.65,15.4937,0.0,1.49076
2009-04-09,10.01,22.06,16.04,21.87537,0.0,3.99522
2009-04-10,7.01,22.65,14.83,16.19402,1.8,3.46724
2009-04-11,8.04,21.48,14.76,10.72349,8.2,2.31353
2009-04-12,9.86,19.94,14.9,16.76189,0.2,2.50499
2009-04-13,8.29,19.33,13.81,16.19573,0.0,2.15152
2009-04-14,9.85,20.82,15.34,16.24992,0.2,2.69086
2009-04-15,8.11,23.36,15.73,16.56628,0.2,4.09233
2009-04-16,7.37,13.68,10.53,12.85483,4.4,1.20789
2009-04-17,5.91,16.27,11.09,18.32298,0.0,2.20777
2009-04-18,5.52,13.95,9.73,18.60128,6.2,1.21077
2009-04-19,8.87,18.36,13.61,22.36533,0.0,2.60247
2009-04-20,7.98,20.87,14.43,23.54714,0.2,3.81742
2009-04-21,7.38,20.49,13.93,21.05791,0.0,3.53418
2009-04-22,6.3,19.16,12.73,24.04351,0.2,3.52834
2009-04-23,2.5,17.16,9.83,25.39693,0.0,3.01833
2009-04-24,2.52,18.44,10.48,25.78475,0.2,3.40211
2009-04-25,1.78,12.61,7.19,3.05857,16.0,0.62349
2009-04-26,9.24,13.7,11.47,3.11871,19.2,1.12426
2009-04-27,7.83,16.21,12.02,18.87428,2.0,2.73026
2009-04-28,6.54,14.19,10.37,14.31316,7.0,2.11887
2009-04-29,5.19,15.44,10.31,14.4753,0.2,2.36227
2009-04-30,1.0,19.15,10.07,21.60938,0.0,2.42927
2009-05-01,5.54,19.69,12.62,15.55673,0.0,2.74602
2009-05-02,6.55,20.58,13.56,26.24603,0.2,3.53734
2009-05-03,4.91,16.16,10.54,15.13298,0.2,1.62466
2009-05-04,5.01,15.21,10.11,19.84952,0.0,2.86428
2009-05-05,5.36,14.45,9.9,6.53264,0.0,1.14807
2009-05-06,11.06,18.62,14.84,21.5549,0.2,3.63321
2009-05-07,3.95,24.82,14.38,25.08558,5.4,3.26656
2009-05-08,12.39,17.4,14.89,8.07469,0.0,2.53232
2009-05-09,6.58,18.57,12.57,12.01377,7.4,1.29417
2009-05-10,10.05,19.41,14.73,11.36402,2.4,1.50208
2009-05-11,11.59,21.88,16.73,19.52594,1.6,2.47898
2009-05-12,15.21,24.24,19.73,24.15793,0.0,3.71868
2009-05-13,13.7,23.91,18.8,17.35486,1.0,3.02574
2009-05-14,12.11,17.95,15.03,8.93586,10.6,1.43896
2009-05-15,12.56,17.41,14.98,12.60681,1.4,3.14969
2009-05-16,7.05,20.28,13.67,15.10387,4.4,2.59751
2009-05-17,10.36,18.58,14.47,11.12316,1.6,2.51392
2009-05-18,5.47,19.86,12.66,26.94223,0.0,2.95304
2009-05-19,6.98,22.68,14.83,19.5587,1.2,3.01044
2009-05-20,5.91,23.64,14.78,25.21058,0.0,2.56654
2009-05-21,11.44,19.82,15.63,6.19082,3.6,1.4708
2009-05-22,11.56,20.96,16.26,28.15199,0.0,4.60458
2009-05-23,4.14,24.93,14.54,20.17166,0.0,2.68424
2009-05-24,11.92,29.36,20.64,26.60083,0.2,4.05321
2009-05-25,15.12,30.65,22.88,27.26883,0.0,5.24371
2009-05-26,14.03,20.48,17.25,9.35654,1.8,3.45453
2009-05-27,6.83,17.17,12.0,23.8879,0.0,2.9604
2009-05-28,12.17,20.38,16.27,9.77225,0.2,2.66302
2009-05-29,8.82,22.55,15.69,26.0424,0.0,5.04959
2009-05-30,6.84,22.86,14.85,30.35947,0.0,5.15426
2009-05-31,8.81,23.04,15.93,26.70932,0.0,4.21432
2009-06-01,8.46,25.3,16.88,24.58039,2.6,3.94341
2009-06-02,11.34,25.18,18.26,28.76537,0.0,5.04316
2009-06-03,10.35,23.14,16.75,27.1297,0.0,4.62832
2009-06-04,8.94,18.11,13.52,29.33311,0.0,4.33107
2009-06-05,3.81,19.59,11.7,24.69714,1.4,3.73293
2009-06-06,10.1,13.06,11.58,10.77364,11.4,1.64768
2009-06-07,7.05,19.42,13.24,24.2041,1.4,2.96643
2009-06-08,6.62,19.05,12.84,12.33707,9.4,1.63042
2009-06-09,11.36,22.06,16.71,23.00298,5.2,4.0342
2009-06-10,9.18,19.31,14.24,13.42943,6.8,2.11842
2009-06-11,13.22,20.29,16.75,21.27344,0.0,4.25801
2009-06-12,7.42,22.64,15.03,23.56257,0.0,2.64336
2009-06-13,8.88,25.99,17.43,28.86114,0.0,3.90906
2009-06-14,11.15,25.34,18.25,9.33336,0.4,2.57427
2009-06-15,15.79,21.67,18.73,6.34745,12.2,2.21493
2009-06-16,11.47,22.26,16.87,25.39769,0.0,4.1519
2009-06-17,6.6,26.61,16.61,28.4181,0.0,3.81013
2009-06-18,14.14,25.98,20.06,27.6158,0.2,4.21572
2009-06-19,13.32,20.79,17.05,18.30401,0.2,4.08174
2009-06-20,6.52,20.1,13.31,16.35366,1.8,2.9764
2009-06-21,9.76,21.1,15.43,23.53056,0.0,3.26748
2009-06-22,7.23,20.21,13.72,24.50487,0.0,3.86315
2009-06-23,6.53,23.61,15.07,28.16415,0.0,4.3713
