iso-date,tmin,tmax,tavg,globrad,precip,et0
2010-01-01,-0.4,1.0,0.3,0.51063,0.0,0.08
2010-01-02,-4.1,3.1,-0.5,5.26954,0.0,0.3
2010-01-03,-2.1,3.8,0.85,3.13075,0.0,0.6
2010-01-04,-5.7,-2.4,-4.05,3.10983,0.0,0.4
2010-01-05,-7.3,-1.1,-4.2,4.91796,0.0,0.3
2010-01-06,-5.3,-0.7,-3.0,1.38959,1.8,0.13
2010-01-07,-12.8,-1.8,-7.3,4.19806,0.2,0.0
2010-01-08,-13.9,-3.8,-8.85,5.06864,0.0,0.0
2010-01-09,-5.1,-1.7,-3.4,2.57827,0.6,0.15
2010-01-10,-3.1,-0.9,-2.0,1.57793,0.2,0.07
2010-01-11,-2.0,0.1,-0.95,2.56153,0.0,0.0
2010-01-12,-7.1,0.9,-3.1,2.77917,2.0,0.06
2010-01-13,-2.6,5.5,1.45,5.18165,3.4,0.0
2010-01-14,1.0,5.0,3.0,5.60857,0.0,0.0
2010-01-15,-1.2,3.6,1.2,2.2811,0.0,0.05
2010-01-16,0.5,9.6,5.05,0.71153,7.0,0.01
2010-01-17,3.2,10.3,6.75,6.06898,0.0,0.0
2010-01-18,1.5,7.9,4.7,3.85903,0.0,0.0
2010-01-19,0.9,3.4,2.15,3.26888,2.0,0.0
2010-01-20,-0.6,8.7,4.05,3.85066,2.0,0.03
2010-01-21,0.5,4.1,2.3,2.88799,0.0,0.04
2010-01-22,1.4,8.3,4.85,4.60824,0.6,0.04
2010-01-23,3.2,4.9,4.05,2.49874,1.2,0.18
2010-01-24,3.4,5.5,4.45,1.05056,3.4,0.05
2010-01-25,-0.6,5.5,2.45,4.96819,0.0,0.0
2010-01-26,-1.0,0.2,-0.4,0.81199,0.0,0.16
2010-01-27,-5.2,0.9,-2.15,6.96049,0.6,0.06
2010-01-28,-1.0,6.3,2.65,4.72124,0.0,0.06
2010-01-29,2.4,7.6,5.0,1.97974,4.0,0.33
2010-01-30,-0.7,3.1,1.2,6.49171,0.6,0.06
2010-01-31,-4.8,2.7,-1.05,9.73129,0.2,0.0
2010-02-01,-2.4,3.4,0.5,4.24828,0.0,0.14
2010-02-02,-0.9,7.2,3.15,3.52838,0.4,0.29
2010-02-03,6.0,8.6,7.3,2.30202,0.8,0.38
2010-02-04,0.1,8.3,4.2,5.65043,4.2,0.28
2010-02-05,4.3,11.2,7.75,6.70936,1.8,0.38
2010-02-06,4.3,10.3,7.3,6.31173,0.0,0.29
2010-02-07,2.9,4.6,3.75,1.80814,0.0,0.25
2010-02-08,1.7,3.7,2.7,1.84999,0.2,0.2
2010-02-09,-1.6,0.3,-0.65,1.67839,0.0,0.28
2010-02-10,-4.8,3.3,-0.75,6.11083,0.4,0.31
2010-02-11,-4.9,-1.7,-3.3,5.16072,0.0,0.4
2010-02-12,-3.8,-0.9,-2.35,4.03064,0.0,0.41
2010-02-13,-4.3,-1.7,-3.0,4.77984,0.0,0.37
2010-02-14,-3.2,-0.0,-1.6,5.93922,0.0,0.34
2010-02-15,-6.3,2.8,-1.75,9.37133,0.0,0.29
2010-02-16,-7.4,4.5,-1.45,11.30085,0.0,0.5
2010-02-17,-0.7,3.8,1.55,2.5406,0.8,0.23
2010-02-18,-0.1,9.9,4.9,8.21195,3.4,0.44
2010-02-19,0.9,7.4,4.15,10.66884,0.6,0.53
2010-02-20,-0.9,5.8,2.45,7.24929,1.2,0.4
2010-02-21,0.3,9.4,4.85,6.49171,1.4,0.48
2010-02-22,5.0,14.7,9.85,8.60957,1.0,1.3
2010-02-23,8.3,13.1,10.7,7.04838,2.0,0.89
2010-02-24,5.1,11.5,8.3,6.0606,6.0,0.96
2010-02-25,6.2,14.0,10.1,5.39929,10.8,0.97
2010-02-26,5.5,10.7,8.1,9.84848,0.8,1.67
2010-02-27,2.3,14.7,8.5,7.99849,11.4,0.9
2010-02-28,5.4,11.0,8.2,7.24929,2.2,1.77
2010-03-01,-0.5,10.2,4.85,8.47145,2.6,0.65
2010-03-02,5.1,10.9,8.0,8.24962,0.0,0.75
2010-03-03,0.8,8.9,4.85,10.25866,0.0,1.13
2010-03-04,1.0,8.7,4.85,13.12991,0.0,1.37
2010-03-05,-2.3,5.9,1.8,14.26,0.0,0.9
