iso-date,tmin,tmax,tavg,globrad,precip,et0
2010-01-01,-0.41,3.41,1.5,4.36948,0.0,0.30161
2010-01-02,-3.51,3.15,-0.18,3.92984,0.0,0.0907
2010-01-03,-5.12,3.99,-0.56,4.98485,0.0,0.16311
2010-01-04,-7.08,-0.37,-3.73,7.43129,0.0,0.13988
2010-01-05,-8.75,2.65,-3.05,5.8866,0.0,0.09558
2010-01-06,-4.86,-1.92,-3.39,2.05769,1.2,0.06183
2010-01-07,-14.49,-0.06,-7.28,5.24434,0.0,0.02286
2010-01-08,-12.24,-1.22,-6.73,5.68853,0.0,0.0671
2010-01-09,-6.73,-0.95,-3.84,2.78675,0.0,0.22142
2010-01-10,-1.54,0.25,-0.65,1.97953,0.0,0.14166
2010-01-11,-2.63,1.16,-0.73,2.44482,0.0,0.08566
2010-01-12,-8.82,-0.19,-4.5,3.64865,0.0,0.07038
2010-01-13,-1.88,6.58,2.35,4.9211,3.5,0.04131
2010-01-14,0.91,5.7,3.31,4.37524,0.0,0.05467
2010-01-15,0.83,4.08,2.46,2.77395,0.0,0.08688
2010-01-16,0.81,9.62,5.21,0.7811,5.5,0.15666
2010-01-17,4.12,10.56,7.34,4.32668,0.0,0.30666
2010-01-18,-1.14,8.52,3.69,2.83438,0.0,0.0193
2010-01-19,1.39,3.15,2.27,2.17618,2.0,0.07889
2010-01-20,-0.23,8.93,4.35,2.74045,8.0,0.21126
2010-01-21,3.95,8.7,6.32,5.07776,0.0,0.23909
2010-01-22,4.24,7.64,5.94,2.24075,3.4,0.26978
2010-01-23,4.51,6.05,5.28,1.49268,6.6,0.13365
2010-01-24,4.61,6.33,5.47,1.79241,0.0,0.29168
2010-01-25,-0.07,6.53,3.23,3.20831,0.4,0.19184
2010-01-26,-2.1,1.47,-0.32,2.0645,0.0,0.32003
2010-01-27,-5.6,5.77,0.08,7.09959,0.8,0.26599
2010-01-28,1.27,6.61,3.94,3.11547,1.0,0.09079
2010-01-29,3.28,7.23,5.25,1.40578,7.8,0.3772
2010-01-30,-2.02,3.71,0.84,7.63988,0.2,0.23985
2010-01-31,-3.85,4.53,0.34,7.67527,0.0,0.16191
2010-02-01,-3.5,5.51,1.0,6.97784,0.6,0.18832
2010-02-02,1.24,8.03,4.63,1.66511,3.5,0.29275
2010-02-03,7.62,10.67,9.14,3.50576,1.0,0.49056
2010-02-04,5.03,9.5,7.27,7.14659,4.0,0.65178
2010-02-05,5.38,12.22,8.8,7.45676,1.0,0.62552
2010-02-06,5.12,9.21,7.17,3.75552,0.0,0.3192
2010-02-07,3.28,6.94,5.11,3.14843,0.0,0.41377
2010-02-08,1.29,3.0,2.15,1.2293,1.0,0.13115
2010-02-09,-2.41,-0.6,-1.51,1.90634,0.0,0.43109
2010-02-10,-3.1,4.14,0.52,6.49678,0.5,0.48202
2010-02-11,-3.84,0.43,-1.7,3.5853,0.0,0.75992
2010-02-12,-4.45,2.94,-0.76,10.52317,0.0,0.73507
2010-02-13,-2.61,1.49,-0.56,5.01635,0.0,0.67281
2010-02-14,-7.35,1.54,-2.9,6.99065,0.0,0.28703
2010-02-15,-3.53,3.4,-0.06,3.44071,0.0,0.29633
2010-02-16,-2.3,5.22,1.46,10.92491,0.0,0.66853
2010-02-17,-5.77,3.45,-1.16,3.30202,0.5,0.19734
2010-02-18,-0.57,9.88,4.66,5.67147,1.0,0.46585
2010-02-19,1.89,7.95,4.92,9.64903,0.0,0.64727
2010-02-20,-2.0,6.95,2.48,10.23448,3.5,0.3808
2010-02-21,-0.25,8.88,4.32,7.2822,0.0,0.3424
2010-02-22,3.22,12.6,7.91,3.30897,1.0,0.76097
2010-02-23,8.3,14.58,11.44,5.23053,6.0,0.6999
2010-02-24,6.12,12.55,9.34,6.83342,5.0,0.99517
2010-02-25,7.09,12.69,9.89,3.41502,9.0,0.93568
2010-02-26,5.28,10.73,8.01,9.21359,1.5,1.37467
2010-02-27,4.63,12.45,8.54,7.51879,12.5,1.19708
2010-02-28,4.96,9.95,7.46,4.53554,6.5,0.71953
2010-03-01,-1.58,10.75,4.58,9.63999,0.5,0.75446
2010-03-02,2.14,11.19,6.67,13.75756,0.0,1.271
2010-03-03,0.9,8.6,4.75,10.91948,0.0,1.77849
2010-03-04,1.09,7.63,4.36,13.64371,0.0,1.65685
2010-03-05,-2.53,7.45,2.46,15.37898,0.0,0.91343
2010-03-06,-0.52,7.86,3.67,9.88092,0.0,1.16568
2010-03-07,-3.12,4.15,0.52,15.2213,0.0,1.81783
2010-03-08,-2.7,6.31,1.8,15.56421,0.0,1.91799
2010-03-09,-2.56,5.44,1.44,15.09753,0.0,1.52807
2010-03-10,-2.24,8.61,3.18,15.02942,0.0,2.01926
2010-03-11,-0.98,8.39,3.71,15.4151,0.0,1.48545
2010-03-12,2.02,6.7,4.36,5.98164,0.5,0.91398
2010-03-13,1.69,6.67,4.18,4.3682,0.0,0.74117
2010-03-14,2.86,10.56,6.71,7.49172,0.0,1.15465
2010-03-15,0.92,11.94,6.43,11.41603,0.0,1.22603
2010-03-16,-3.75,14.57,5.41,16.07838,0.0,1.41976
2010-03-17,1.22,17.64,9.43,14.11465,0.0,2.01318
2010-03-18,2.08,18.7,10.39,12.34106,0.0,2.69422
2010-03-19,11.39,17.51,14.45,7.70163,11.5,1.95525
2010-03-20,12.19,18.19,15.19,9.62069,0.0,1.92165
2010-03-21,7.61,13.42,10.52,8.69685,0.0,1.53076
2010-03-22,-1.33,15.03,6.85,13.82809,0.0,1.57389
2010-03-23,4.46,14.51,9.48,9.8441,0.0,1.44752
2010-03-24,5.52,19.06,12.29,11.16368,1.0,1.97709
2010-03-25,10.8,16.18,13.49,6.67277,5.5,1.59284
2010-03-26,5.63,13.34,9.48,9.97935,0.5,1.66535
2010-03-27,5.89,13.31,9.6,7.4914,0.5,1.38746
