iso-date,tmin,tmax,tavg,globrad,precip,et0
2009-01-01,-1.0,1.88,0.44,1.84795,0.0,0.28293
2009-01-02,-1.41,1.98,0.29,4.74601,0.0,0.81091
2009-01-03,-2.31,0.69,-0.81,4.88469,0.0,0.7216
2009-01-04,-7.32,1.05,-3.14,6.29972,0.0,0.38965
2009-01-05,-5.88,5.23,-0.32,2.30264,0.4,0.20907
2009-01-06,-1.82,0.31,-0.76,5.2275,0.0,1.07296
2009-01-07,-7.97,2.81,-2.58,5.24249,0.0,0.50193
2009-01-08,0.21,5.05,2.63,4.17616,0.0,1.13368
2009-01-09,-6.47,2.37,-2.05,6.51156,0.0,0.63534
2009-01-10,-7.01,6.08,-0.46,6.65192,0.2,0.77282
2009-01-11,-6.64,7.69,0.53,2.57799,0.2,0.28739
2009-01-12,5.99,9.26,7.63,1.58612,18.6,0.59204
2009-01-13,5.6,11.91,8.75,4.65418,0.6,0.59787
2009-01-14,0.03,9.72,4.88,3.10831,1.0,0.30389
2009-01-15,4.78,8.66,6.72,4.45158,0.2,0.61652
2009-01-16,5.52,11.26,8.39,3.57352,3.0,0.40397
2009-01-17,7.85,11.11,9.48,4.04057,12.0,0.49098
2009-01-18,5.29,11.32,8.3,4.41597,24.6,1.28503
2009-01-19,3.99,9.74,6.87,3.05844,8.6,0.87086
2009-01-20,1.3,7.33,4.32,4.99892,1.6,0.69737
2009-01-21,-0.33,11.25,5.46,4.80337,31.8,0.42477
2009-01-22,6.29,12.0,9.14,2.05193,14.8,0.22353
2009-01-23,6.69,11.29,8.99,5.58121,20.2,1.23409
2009-01-24,1.41,9.52,5.46,5.46599,9.0,0.76259
2009-01-25,4.2,7.19,5.7,2.16375,5.4,0.50784
2009-01-26,0.68,8.72,4.7,4.95626,2.0,0.42481
2009-01-27,0.41,9.95,5.18,3.29647,2.4,0.17963
2009-01-28,6.02,6.7,6.36,1.56005,2.4,0.24235
2009-01-29,3.53,7.19,5.36,3.34439,0.4,0.51656
2009-01-30,3.66,8.04,5.85,5.7891,0.0,1.28668
2009-01-31,2.08,7.07,4.58,3.89726,0.0,1.04199
2009-02-01,0.38,3.48,1.93,8.35211,0.0,1.13314
2009-02-02,-2.7,3.07,0.18,6.64894,0.0,0.89906
2009-02-03,-4.09,5.71,0.81,6.92011,3.2,0.50924
2009-02-04,0.8,8.1,4.45,2.15814,12.0,0.64634
2009-02-05,2.59,10.11,6.35,6.02624,5.0,0.65468
2009-02-06,3.61,7.14,5.38,3.11916,1.8,0.94609
2009-02-07,0.63,7.76,4.2,7.55936,1.0,1.3183
2009-02-08,-0.6,6.46,2.93,3.83321,2.4,0.33205
2009-02-09,4.03,11.93,7.98,1.62812,30.8,0.32055
2009-02-10,4.41,9.84,7.13,8.32356,0.4,1.52507
2009-02-11,2.98,10.04,6.51,6.01583,0.2,0.56777
2009-02-12,2.1,7.78,4.94,9.43788,0.2,0.86802
2009-02-13,-0.71,11.95,5.62,6.55441,0.0,0.4705
2009-02-14,-1.99,8.07,3.04,7.74384,0.0,0.78573
2009-02-15,-3.19,6.64,1.72,11.32103,0.2,0.77944
2009-02-16,-2.68,11.64,4.48,9.08296,0.4,0.62827
2009-02-17,1.29,10.25,5.77,5.37907,0.0,0.78661
2009-02-18,4.21,10.14,7.18,3.8604,0.0,0.52485
2009-02-19,5.01,9.82,7.42,4.90775,0.0,0.80499
2009-02-20,4.3,12.39,8.35,10.16325,0.2,1.00564
2009-02-21,0.97,11.33,6.15,8.16348,0.0,0.74495
2009-02-22,2.46,12.53,7.49,6.34591,0.0,0.63742
2009-02-23,4.0,9.87,6.93,5.06364,0.0,0.74196
2009-02-24,5.31,10.95,8.13,4.30965,0.0,1.00501
2009-02-25,4.78,12.38,8.58,11.76792,0.2,1.09454
2009-02-26,-2.27,8.68,3.21,3.26531,0.2,0.46117
2009-02-27,4.54,11.49,8.02,6.04714,0.2,1.19254
2009-02-28,0.83,15.83,8.33,13.1289,0.2,1.02587
2009-03-01,1.86,10.33,6.09,4.40643,0.0,0.76906
2009-03-02,-1.72,12.59,5.43,11.66476,0.4,1.05987
2009-03-03,0.54,9.13,4.84,4.58733,31.0,0.52984
2009-03-04,3.0,8.61,5.8,9.96178,4.0,1.26263
2009-03-05,1.1,7.75,4.42,7.30538,2.6,1.285
2009-03-06,-1.07,10.06,4.5,9.7747,0.2,0.83137
2009-03-07,6.31,13.33,9.82,9.83665,1.2,1.10742
2009-03-08,7.63,12.45,10.04,10.52215,1.2,2.05321
2009-03-09,3.42,12.47,7.95,10.97918,0.0,1.76302
2009-03-10,6.67,14.45,10.56,9.27644,1.4,1.77665
2009-03-11,3.17,14.14,8.66,8.96118,0.2,0.75313
2009-03-12,7.08,12.79,9.93,5.88516,0.2,1.17381
2009-03-13,2.06,16.36,9.21,14.98572,0.0,1.55567
2009-03-14,7.62,12.82,10.22,7.65075,0.0,1.90532
2009-03-15,-0.45,13.82,6.69,15.00657,0.2,1.53968
2009-03-16,0.49,17.2,8.84,16.77432,0.2,1.97448
2009-03-17,3.65,17.78,10.71,17.27746,0.0,2.39167
2009-03-18,4.54,19.36,11.95,17.38385,0.2,2.53705
2009-03-19,4.12,18.61,11.37,17.95488,0.0,3.41687
2009-03-20,3.29,14.84,9.06,18.08959,0.0,2.9847
2009-03-21,-0.49,13.81,6.66,18.42555,0.0,2.43969
2009-03-22,0.85,13.72,7.29,11.10321,0.2,1.20195
2009-03-23,-0.92,17.31,8.19,17.31342,0.2,1.80752
2009-03-24,4.52,12.87,8.7,16.62369,0.0,2.61962
2009-03-25,2.99,12.37,7.68,9.55866,0.6,1.63641
2009-03-26,3.9,11.13,7.52,6.44501,0.6,1.10071
2009-03-27,4.51,11.73,8.12,12.60898,2.0,1.82918
2009-03-28,2.21,11.85,7.03,15.0448,0.6,1.73631
2009-03-29,-0.23,11.95,5.86,13.29426,0.4,1.68629
2009-03-30,-1.34,14.04,6.35,19.43241,0.0,1.85982
2009-03-31,-1.69,13.91,6.11,19.7304,0.2,2.18733
2009-04-01,0.52,15.62,8.07,19.61322,0.2,2.19799
2009-04-02,2.19,17.33,9.76,17.34517,0.2,1.80069
2009-04-03,4.86,12.65,8.76,14.87824,2.2,1.45818
2009-04-04,6.96,15.39,11.18,11.71057,0.6,2.09263
2009-04-05,1.5,15.0,8.25,18.35919,0.2,1.84146
2009-04-06,3.42,13.3,8.36,11.75418,0.8,1.44372
2009-04-07,3.81,13.53,8.67,18.1609,6.0,1.88305
2009-04-08,8.36,13.08,10.72,6.55079,9.0,0.75903
2009-04-09,10.98,14.82,12.9,11.83487,6.0,2.38771
2009-04-10,8.98,11.11,10.04,4.29325,6.2,1.52094
2009-04-11,2.61,15.13,8.87,16.98461,0.0,1.9587
2009-04-12,1.82,16.01,8.92,15.82498,0.2,1.77128
2009-04-13,1.87,13.98,7.93,18.11518,0.8,2.01226
2009-04-14,9.24,12.99,11.12,7.88034,5.8,1.48421
2009-04-15,8.79,11.52,10.15,3.83845,13.2,0.85733
2009-04-16,7.93,13.94,10.93,14.763,1.4,2.1783
2009-04-17,3.18,15.63,9.41,17.39956,0.2,1.70063
2009-04-18,4.69,17.61,11.15,18.92347,0.2,1.79969
2009-04-19,7.13,11.92,9.53,7.25461,0.0,1.48202
2009-04-20,8.76,17.83,13.29,17.90437,0.2,2.28568
2009-04-21,4.56,17.74,11.15,18.67268,0.2,2.6652
2009-04-22,3.87,20.12,12.0,22.28592,0.2,2.27926
2009-04-23,6.08,21.62,13.85,22.05761,0.0,2.92963
2009-04-24,7.99,21.2,14.59,22.21217,0.0,4.02369
2009-04-25,5.16,13.98,9.57,20.73295,2.2,2.95504
2009-04-26,3.71,14.35,9.03,14.56248,2.0,2.32343
2009-04-27,6.1,11.36,8.73,7.95802,9.9,1.39548
2009-04-28,3.81,11.95,7.88,13.27553,6.6,1.88121
2009-04-29,1.04,13.78,7.41,13.0982,2.0,1.27686
2009-04-30,10.68,14.81,12.75,9.85472,11.8,2.19779
